Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn)
Oslo - Blindern;SN18700;19.06.2021;17,6
Oslo - Blindern;SN18700;20.06.2021;15,8
Oslo - Blindern;SN18700;21.06.2021;14,5
Oslo - Blindern;SN18700;22.06.2021;14,8
Oslo - Blindern;SN18700;23.06.2021;17,8
Oslo - Blindern;SN18700;24.06.2021;17
Oslo - Blindern;SN18700;25.06.2021;16,5
Oslo - Blindern;SN18700;26.06.2021;18,6
Oslo - Blindern;SN18700;27.06.2021;16,1
Oslo - Blindern;SN18700;28.06.2021;16,6
Oslo - Blindern;SN18700;29.06.2021;17
Oslo - Blindern;SN18700;30.06.2021;18,2
Oslo - Blindern;SN18700;01.07.2021;19,6
Oslo - Blindern;SN18700;02.07.2021;22,2
Oslo - Blindern;SN18700;03.07.2021;23,6
Oslo - Blindern;SN18700;04.07.2021;20,6
Oslo - Blindern;SN18700;05.07.2021;20,5
Oslo - Blindern;SN18700;06.07.2021;18,9
Oslo - Blindern;SN18700;07.07.2021;18
Oslo - Blindern;SN18700;08.07.2021;18,1
Oslo - Blindern;SN18700;09.07.2021;18,5
Oslo - Blindern;SN18700;10.07.2021;16,5
Oslo - Blindern;SN18700;11.07.2021;18,5
Oslo - Blindern;SN18700;12.07.2021;19,2
Oslo - Blindern;SN18700;13.07.2021;21,7
Oslo - Blindern;SN18700;14.07.2021;21,9
Oslo - Blindern;SN18700;15.07.2021;23,3
Oslo - Blindern;SN18700;16.07.2021;22
Oslo - Blindern;SN18700;17.07.2021;22
Oslo - Blindern;SN18700;18.07.2021;18,7
Oslo - Blindern;SN18700;19.07.2021;17,9
Oslo - Blindern;SN18700;20.07.2021;19,8
Oslo - Blindern;SN18700;21.07.2021;18,4
Oslo - Blindern;SN18700;22.07.2021;21,1
Oslo - Blindern;SN18700;23.07.2021;20,8
Oslo - Blindern;SN18700;24.07.2021;21,9
Oslo - Blindern;SN18700;25.07.2021;23,3
Oslo - Blindern;SN18700;26.07.2021;21,8
Oslo - Blindern;SN18700;27.07.2021;18,1
Oslo - Blindern;SN18700;28.07.2021;18,2
Oslo - Blindern;SN18700;29.07.2021;15,4
Oslo - Blindern;SN18700;30.07.2021;19,3
Oslo - Blindern;SN18700;31.07.2021;17,1
Oslo - Blindern;SN18700;01.08.2021;15,1
Oslo - Blindern;SN18700;02.08.2021;14,8
Oslo - Blindern;SN18700;03.08.2021;14,8
Oslo - Blindern;SN18700;04.08.2021;16
Oslo - Blindern;SN18700;05.08.2021;16,3
Oslo - Blindern;SN18700;06.08.2021;17,5
Oslo - Blindern;SN18700;07.08.2021;17
Oslo - Blindern;SN18700;08.08.2021;17,5
Oslo - Blindern;SN18700;09.08.2021;17,4
Oslo - Blindern;SN18700;10.08.2021;17,9
Oslo - Blindern;SN18700;11.08.2021;17
Oslo - Blindern;SN18700;12.08.2021;18
Oslo - Blindern;SN18700;13.08.2021;17
Oslo - Blindern;SN18700;14.08.2021;14,8
Oslo - Blindern;SN18700;15.08.2021;15,6
Oslo - Blindern;SN18700;16.08.2021;15,4
Oslo - Blindern;SN18700;17.08.2021;17
Oslo - Blindern;SN18700;18.08.2021;15,7
Oslo - Blindern;SN18700;19.08.2021;14,9
Oslo - Blindern;SN18700;20.08.2021;14,6
Oslo - Blindern;SN18700;21.08.2021;14,9
Oslo - Blindern;SN18700;22.08.2021;15,2
Oslo - Blindern;SN18700;23.08.2021;16,3
Oslo - Blindern;SN18700;24.08.2021;16,6
Oslo - Blindern;SN18700;25.08.2021;17,9
Oslo - Blindern;SN18700;26.08.2021;14,5
Oslo - Blindern;SN18700;27.08.2021;15,4
Oslo - Blindern;SN18700;28.08.2021;17,3
Oslo - Blindern;SN18700;29.08.2021;18,5
Oslo - Blindern;SN18700;30.08.2021;18,3
Oslo - Blindern;SN18700;31.08.2021;18,5
Oslo - Blindern;SN18700;01.09.2021;17,8
Oslo - Blindern;SN18700;02.09.2021;17,6
Oslo - Blindern;SN18700;03.09.2021;14,1
Oslo - Blindern;SN18700;04.09.2021;12,2
Oslo - Blindern;SN18700;05.09.2021;13,7
Oslo - Blindern;SN18700;06.09.2021;14,2
Oslo - Blindern;SN18700;07.09.2021;15,8
Oslo - Blindern;SN18700;08.09.2021;18,4
Oslo - Blindern;SN18700;09.09.2021;17,5
Oslo - Blindern;SN18700;10.09.2021;17,5
Oslo - Blindern;SN18700;11.09.2021;15,9
Oslo - Blindern;SN18700;12.09.2021;16,1
Oslo - Blindern;SN18700;13.09.2021;12,5
Oslo - Blindern;SN18700;14.09.2021;12,6
Oslo - Blindern;SN18700;15.09.2021;13,5
Oslo - Blindern;SN18700;16.09.2021;11,1
Oslo - Blindern;SN18700;17.09.2021;10
Oslo - Blindern;SN18700;18.09.2021;10,4
Oslo - Blindern;SN18700;19.09.2021;10,2
Oslo - Blindern;SN18700;20.09.2021;9,3
Oslo - Blindern;SN18700;21.09.2021;11,5
Oslo - Blindern;SN18700;22.09.2021;12,7
Oslo - Blindern;SN18700;23.09.2021;11
Oslo - Blindern;SN18700;24.09.2021;9
Oslo - Blindern;SN18700;25.09.2021;11,7
Oslo - Blindern;SN18700;26.09.2021;11,2
Oslo - Blindern;SN18700;27.09.2021;12,5
Oslo - Blindern;SN18700;28.09.2021;13,4
Oslo - Blindern;SN18700;29.09.2021;11,4
Oslo - Blindern;SN18700;30.09.2021;10,7
Oslo - Blindern;SN18700;01.10.2021;11,7
Oslo - Blindern;SN18700;02.10.2021;12
Oslo - Blindern;SN18700;03.10.2021;12,1
Oslo - Blindern;SN18700;04.10.2021;12,3
Oslo - Blindern;SN18700;05.10.2021;11,7
Oslo - Blindern;SN18700;06.10.2021;10,4
Oslo - Blindern;SN18700;07.10.2021;10,7
Oslo - Blindern;SN18700;08.10.2021;12,8
Oslo - Blindern;SN18700;09.10.2021;12,9
Oslo - Blindern;SN18700;10.10.2021;10,2
Oslo - Blindern;SN18700;11.10.2021;7
Oslo - Blindern;SN18700;12.10.2021;6,2
Oslo - Blindern;SN18700;13.10.2021;4,9
Oslo - Blindern;SN18700;14.10.2021;8,9
Oslo - Blindern;SN18700;15.10.2021;7,9
Oslo - Blindern;SN18700;16.10.2021;6,4
Oslo - Blindern;SN18700;17.10.2021;3,9
Oslo - Blindern;SN18700;18.10.2021;2,8
Oslo - Blindern;SN18700;19.10.2021;2,3
Oslo - Blindern;SN18700;20.10.2021;7,5
Oslo - Blindern;SN18700;21.10.2021;7,1
Oslo - Blindern;SN18700;22.10.2021;6,3
Oslo - Blindern;SN18700;23.10.2021;5,2
Oslo - Blindern;SN18700;24.10.2021;8,3
Oslo - Blindern;SN18700;25.10.2021;10
Oslo - Blindern;SN18700;26.10.2021;6,8
Oslo - Blindern;SN18700;27.10.2021;9,2
Oslo - Blindern;SN18700;28.10.2021;11,6
Oslo - Blindern;SN18700;29.10.2021;10,8
Oslo - Blindern;SN18700;30.10.2021;11
Oslo - Blindern;SN18700;31.10.2021;9,6
Oslo - Blindern;SN18700;01.11.2021;10,3
Oslo - Blindern;SN18700;02.11.2021;9,3
Oslo - Blindern;SN18700;03.11.2021;7,1
Oslo - Blindern;SN18700;04.11.2021;3,4
Oslo - Blindern;SN18700;05.11.2021;1,3
Oslo - Blindern;SN18700;06.11.2021;3,1
Oslo - Blindern;SN18700;07.11.2021;3,4
Oslo - Blindern;SN18700;08.11.2021;2,2
Oslo - Blindern;SN18700;09.11.2021;6,8
Oslo - Blindern;SN18700;10.11.2021;5,8
Oslo - Blindern;SN18700;11.11.2021;4,8
Oslo - Blindern;SN18700;12.11.2021;2,8
Oslo - Blindern;SN18700;13.11.2021;3,8
Oslo - Blindern;SN18700;14.11.2021;0,7
Oslo - Blindern;SN18700;15.11.2021;3,7
Oslo - Blindern;SN18700;16.11.2021;7,7
Oslo - Blindern;SN18700;17.11.2021;5,6
Oslo - Blindern;SN18700;18.11.2021;2,1
Oslo - Blindern;SN18700;19.11.2021;7,7
Oslo - Blindern;SN18700;20.11.2021;5,4
Oslo - Blindern;SN18700;21.11.2021;2
Oslo - Blindern;SN18700;22.11.2021;-1,3
Oslo - Blindern;SN18700;23.11.2021;0,7
Oslo - Blindern;SN18700;24.11.2021;3,3
Oslo - Blindern;SN18700;25.11.2021;0,3
Oslo - Blindern;SN18700;26.11.2021;-2,5
Oslo - Blindern;SN18700;27.11.2021;-3,2
Oslo - Blindern;SN18700;28.11.2021;-3
Oslo - Blindern;SN18700;29.11.2021;-5,8
Oslo - Blindern;SN18700;30.11.2021;-6,4
Oslo - Blindern;SN18700;01.12.2021;-8,6
Oslo - Blindern;SN18700;02.12.2021;-6,7
Oslo - Blindern;SN18700;03.12.2021;-8,5
Oslo - Blindern;SN18700;04.12.2021;-5,7
Oslo - Blindern;SN18700;05.12.2021;-6
Oslo - Blindern;SN18700;06.12.2021;-9,7
Oslo - Blindern;SN18700;07.12.2021;-8,9
Oslo - Blindern;SN18700;08.12.2021;-4,4
Oslo - Blindern;SN18700;09.12.2021;-1
Oslo - Blindern;SN18700;10.12.2021;-0,7
Oslo - Blindern;SN18700;11.12.2021;1,2
Oslo - Blindern;SN18700;12.12.2021;0,8
