Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn)
Oslo - Blindern;SN18700;21.05.2020;11,8
Oslo - Blindern;SN18700;22.05.2020;13
Oslo - Blindern;SN18700;23.05.2020;10,5
Oslo - Blindern;SN18700;24.05.2020;11,2
Oslo - Blindern;SN18700;25.05.2020;15,3
Oslo - Blindern;SN18700;26.05.2020;12,9
Oslo - Blindern;SN18700;27.05.2020;13,3
Oslo - Blindern;SN18700;28.05.2020;13,5
Oslo - Blindern;SN18700;29.05.2020;16,1
Oslo - Blindern;SN18700;30.05.2020;18,2
Oslo - Blindern;SN18700;31.05.2020;18,8
Oslo - Blindern;SN18700;01.06.2020;19,9
Oslo - Blindern;SN18700;02.06.2020;19,2
Oslo - Blindern;SN18700;03.06.2020;17,5
Oslo - Blindern;SN18700;04.06.2020;15,6
Oslo - Blindern;SN18700;05.06.2020;13
Oslo - Blindern;SN18700;06.06.2020;10,6
Oslo - Blindern;SN18700;07.06.2020;11,5
Oslo - Blindern;SN18700;08.06.2020;12,5
Oslo - Blindern;SN18700;09.06.2020;15,2
Oslo - Blindern;SN18700;10.06.2020;15,6
Oslo - Blindern;SN18700;11.06.2020;20,7
Oslo - Blindern;SN18700;12.06.2020;21,7
Oslo - Blindern;SN18700;13.06.2020;21,1
Oslo - Blindern;SN18700;14.06.2020;20,3
Oslo - Blindern;SN18700;15.06.2020;22,3
Oslo - Blindern;SN18700;16.06.2020;22,7
Oslo - Blindern;SN18700;17.06.2020;22
Oslo - Blindern;SN18700;18.06.2020;22,9
Oslo - Blindern;SN18700;19.06.2020;24,6
Oslo - Blindern;SN18700;20.06.2020;22
Oslo - Blindern;SN18700;21.06.2020;18,4
Oslo - Blindern;SN18700;22.06.2020;15,6
Oslo - Blindern;SN18700;23.06.2020;19,9
Oslo - Blindern;SN18700;24.06.2020;21,3
Oslo - Blindern;SN18700;25.06.2020;21,8
Oslo - Blindern;SN18700;26.06.2020;22,4
Oslo - Blindern;SN18700;27.06.2020;23,8
Oslo - Blindern;SN18700;28.06.2020;18,4
Oslo - Blindern;SN18700;29.06.2020;16,3
Oslo - Blindern;SN18700;30.06.2020;15,2
Oslo - Blindern;SN18700;01.07.2020;13,6
Oslo - Blindern;SN18700;02.07.2020;14
Oslo - Blindern;SN18700;03.07.2020;12,1
Oslo - Blindern;SN18700;04.07.2020;14,2
Oslo - Blindern;SN18700;05.07.2020;13,6
Oslo - Blindern;SN18700;06.07.2020;13,4
Oslo - Blindern;SN18700;07.07.2020;11,2
Oslo - Blindern;SN18700;08.07.2020;13,2
Oslo - Blindern;SN18700;09.07.2020;14,8
Oslo - Blindern;SN18700;10.07.2020;14,4
Oslo - Blindern;SN18700;11.07.2020;15,5
Oslo - Blindern;SN18700;12.07.2020;15,5
Oslo - Blindern;SN18700;13.07.2020;15,8
Oslo - Blindern;SN18700;14.07.2020;13,8
Oslo - Blindern;SN18700;15.07.2020;17,4
Oslo - Blindern;SN18700;16.07.2020;16,7
Oslo - Blindern;SN18700;17.07.2020;16,7
Oslo - Blindern;SN18700;18.07.2020;15,9
Oslo - Blindern;SN18700;19.07.2020;15,9
Oslo - Blindern;SN18700;20.07.2020;16,8
Oslo - Blindern;SN18700;21.07.2020;14,8
Oslo - Blindern;SN18700;22.07.2020;13,4
Oslo - Blindern;SN18700;23.07.2020;14,5
Oslo - Blindern;SN18700;24.07.2020;15,5
Oslo - Blindern;SN18700;25.07.2020;16,4
Oslo - Blindern;SN18700;26.07.2020;15,4
Oslo - Blindern;SN18700;27.07.2020;16,4
Oslo - Blindern;SN18700;28.07.2020;14,4
