Fra,Til,KWH 60 Forbruk
01.08.2020 00:00,01.08.2020 01:00,"0,872"
01.08.2020 01:00,01.08.2020 02:00,"0,354"
01.08.2020 02:00,01.08.2020 03:00,"0,273"
01.08.2020 03:00,01.08.2020 04:00,"0,433"
01.08.2020 04:00,01.08.2020 05:00,"0,53"
01.08.2020 05:00,01.08.2020 06:00,"0,267"
01.08.2020 06:00,01.08.2020 07:00,"0,301"
01.08.2020 07:00,01.08.2020 08:00,"0,315"
01.08.2020 08:00,01.08.2020 09:00,"0,427"
01.08.2020 09:00,01.08.2020 10:00,"0,677"
01.08.2020 10:00,01.08.2020 11:00,"0,353"
01.08.2020 11:00,01.08.2020 12:00,"1,188"
01.08.2020 12:00,01.08.2020 13:00,"0,344"
01.08.2020 13:00,01.08.2020 14:00,"0,329"
01.08.2020 14:00,01.08.2020 15:00,"0,805"
01.08.2020 15:00,01.08.2020 16:00,"0,322"
01.08.2020 16:00,01.08.2020 17:00,"0,927"
01.08.2020 17:00,01.08.2020 18:00,"0,803"
01.08.2020 18:00,01.08.2020 19:00,"0,892"
01.08.2020 19:00,01.08.2020 20:00,"1,117"
01.08.2020 20:00,01.08.2020 21:00,"0,828"
01.08.2020 21:00,01.08.2020 22:00,"0,836"
01.08.2020 22:00,01.08.2020 23:00,"0,871"
01.08.2020 23:00,02.08.2020 00:00,"0,825"
02.08.2020 00:00,02.08.2020 01:00,"0,396"
02.08.2020 01:00,02.08.2020 02:00,"0,33"
02.08.2020 02:00,02.08.2020 03:00,"1,043"
02.08.2020 03:00,02.08.2020 04:00,"0,591"
02.08.2020 04:00,02.08.2020 05:00,"0,262"
02.08.2020 05:00,02.08.2020 06:00,"0,73"
02.08.2020 06:00,02.08.2020 07:00,"0,293"
02.08.2020 07:00,02.08.2020 08:00,"0,289"
02.08.2020 08:00,02.08.2020 09:00,"0,287"
02.08.2020 09:00,02.08.2020 10:00,"0,794"
02.08.2020 10:00,02.08.2020 11:00,"0,302"
02.08.2020 11:00,02.08.2020 12:00,"0,307"
02.08.2020 12:00,02.08.2020 13:00,"1,518"
02.08.2020 13:00,02.08.2020 14:00,"1,091"
02.08.2020 14:00,02.08.2020 15:00,"1,843"
02.08.2020 15:00,02.08.2020 16:00,"2,279"
02.08.2020 16:00,02.08.2020 17:00,"0,584"
02.08.2020 17:00,02.08.2020 18:00,"0,294"
02.08.2020 18:00,02.08.2020 19:00,"0,291"
02.08.2020 19:00,02.08.2020 20:00,"0,849"
02.08.2020 20:00,02.08.2020 21:00,"0,678"
02.08.2020 21:00,02.08.2020 22:00,"0,71"
02.08.2020 22:00,02.08.2020 23:00,"0,927"
02.08.2020 23:00,03.08.2020 00:00,"0,22"
03.08.2020 00:00,03.08.2020 01:00,"0,682"
03.08.2020 01:00,03.08.2020 02:00,"0,208"
03.08.2020 02:00,03.08.2020 03:00,"0,185"
03.08.2020 03:00,03.08.2020 04:00,"0,304"
03.08.2020 04:00,03.08.2020 05:00,"0,489"
03.08.2020 05:00,03.08.2020 06:00,"0,202"
03.08.2020 06:00,03.08.2020 07:00,"0,229"
03.08.2020 07:00,03.08.2020 08:00,"0,245"
03.08.2020 08:00,03.08.2020 09:00,"0,93"
03.08.2020 09:00,03.08.2020 10:00,"0,269"
03.08.2020 10:00,03.08.2020 11:00,"0,273"
03.08.2020 11:00,03.08.2020 12:00,"0,269"
03.08.2020 12:00,03.08.2020 13:00,"0,246"
03.08.2020 13:00,03.08.2020 14:00,"0,691"
03.08.2020 14:00,03.08.2020 15:00,"0,277"
03.08.2020 15:00,03.08.2020 16:00,"0,32"
03.08.2020 16:00,03.08.2020 17:00,"0,368"
03.08.2020 17:00,03.08.2020 18:00,"0,831"
03.08.2020 18:00,03.08.2020 19:00,"0,928"
03.08.2020 19:00,03.08.2020 20:00,"1,236"
03.08.2020 20:00,03.08.2020 21:00,"1,544"
03.08.2020 21:00,03.08.2020 22:00,"1,729"
03.08.2020 22:00,03.08.2020 23:00,"0,489"
03.08.2020 23:00,04.08.2020 00:00,"0,827"
04.08.2020 00:00,04.08.2020 01:00,"0,215"
04.08.2020 01:00,04.08.2020 02:00,"0,207"
04.08.2020 02:00,04.08.2020 03:00,"0,732"
04.08.2020 03:00,04.08.2020 04:00,"0,208"
04.08.2020 04:00,04.08.2020 05:00,"0,207"
04.08.2020 05:00,04.08.2020 06:00,"0,219"
04.08.2020 06:00,04.08.2020 07:00,"1,057"
04.08.2020 07:00,04.08.2020 08:00,"0,347"
04.08.2020 08:00,04.08.2020 09:00,"2,395"
04.08.2020 09:00,04.08.2020 10:00,"0,35"
04.08.2020 10:00,04.08.2020 11:00,"0,236"
04.08.2020 11:00,04.08.2020 12:00,"0,271"
04.08.2020 12:00,04.08.2020 13:00,"0,741"
04.08.2020 13:00,04.08.2020 14:00,"0,241"
04.08.2020 14:00,04.08.2020 15:00,"0,25"
04.08.2020 15:00,04.08.2020 16:00,"0,243"
