Fra,Til,KWH 60 Forbruk
01.02.2020 00:00,01.02.2020 01:00,"1,375"
01.02.2020 01:00,01.02.2020 02:00,"1,682"
01.02.2020 02:00,01.02.2020 03:00,"1,66"
01.02.2020 03:00,01.02.2020 04:00,"1,515"
01.02.2020 04:00,01.02.2020 05:00,"1,331"
01.02.2020 05:00,01.02.2020 06:00,"1,518"
01.02.2020 06:00,01.02.2020 07:00,"1,852"
01.02.2020 07:00,01.02.2020 08:00,"1,512"
01.02.2020 08:00,01.02.2020 09:00,"1,334"
01.02.2020 09:00,01.02.2020 10:00,"2,252"
01.02.2020 10:00,01.02.2020 11:00,"2,583"
01.02.2020 11:00,01.02.2020 12:00,"2,826"
01.02.2020 12:00,01.02.2020 13:00,"3,354"
01.02.2020 13:00,01.02.2020 14:00,"3,709"
01.02.2020 14:00,01.02.2020 15:00,"2,006"
01.02.2020 15:00,01.02.2020 16:00,"1,446"
01.02.2020 16:00,01.02.2020 17:00,"1,433"
01.02.2020 17:00,01.02.2020 18:00,"2,115"
01.02.2020 18:00,01.02.2020 19:00,"1,402"
01.02.2020 19:00,01.02.2020 20:00,"1,598"
01.02.2020 20:00,01.02.2020 21:00,"1,45"
01.02.2020 21:00,01.02.2020 22:00,"1,972"
01.02.2020 22:00,01.02.2020 23:00,"1,492"
01.02.2020 23:00,02.02.2020 00:00,"1,579"
02.02.2020 00:00,02.02.2020 01:00,"1,437"
02.02.2020 01:00,02.02.2020 02:00,"1,59"
02.02.2020 02:00,02.02.2020 03:00,"2,107"
02.02.2020 03:00,02.02.2020 04:00,"1,572"
02.02.2020 04:00,02.02.2020 05:00,"1,677"
02.02.2020 05:00,02.02.2020 06:00,"1,566"
02.02.2020 06:00,02.02.2020 07:00,"1,743"
02.02.2020 07:00,02.02.2020 08:00,"1,603"
02.02.2020 08:00,02.02.2020 09:00,"2,134"
02.02.2020 09:00,02.02.2020 10:00,"1,712"
02.02.2020 10:00,02.02.2020 11:00,"1,773"
02.02.2020 11:00,02.02.2020 12:00,"1,639"
02.02.2020 12:00,02.02.2020 13:00,"1,619"
02.02.2020 13:00,02.02.2020 14:00,"1,755"
02.02.2020 14:00,02.02.2020 15:00,"2,058"
02.02.2020 15:00,02.02.2020 16:00,"2,934"
02.02.2020 16:00,02.02.2020 17:00,"3,364"
02.02.2020 17:00,02.02.2020 18:00,"1,947"
02.02.2020 18:00,02.02.2020 19:00,"2,282"
02.02.2020 19:00,02.02.2020 20:00,"1,88"
02.02.2020 20:00,02.02.2020 21:00,"2,426"
02.02.2020 21:00,02.02.2020 22:00,"1,591"
02.02.2020 22:00,02.02.2020 23:00,"1,496"
02.02.2020 23:00,03.02.2020 00:00,"1,963"
03.02.2020 00:00,03.02.2020 01:00,"1,449"
03.02.2020 01:00,03.02.2020 02:00,"1,455"
03.02.2020 02:00,03.02.2020 03:00,"1,484"
03.02.2020 03:00,03.02.2020 04:00,"1,474"
03.02.2020 04:00,03.02.2020 05:00,"1,984"
03.02.2020 05:00,03.02.2020 06:00,"1,657"
03.02.2020 06:00,03.02.2020 07:00,"1,513"
03.02.2020 07:00,03.02.2020 08:00,"1,912"
03.02.2020 08:00,03.02.2020 09:00,"2,168"
03.02.2020 09:00,03.02.2020 10:00,"1,688"
03.02.2020 10:00,03.02.2020 11:00,"1,595"
03.02.2020 11:00,03.02.2020 12:00,"1,456"
03.02.2020 12:00,03.02.2020 13:00,"1,517"
03.02.2020 13:00,03.02.2020 14:00,"1,513"
03.02.2020 14:00,03.02.2020 15:00,"2,036"
03.02.2020 15:00,03.02.2020 16:00,"1,596"
03.02.2020 16:00,03.02.2020 17:00,"1,526"
03.02.2020 17:00,03.02.2020 18:00,"1,463"
03.02.2020 18:00,03.02.2020 19:00,"1,625"
03.02.2020 19:00,03.02.2020 20:00,"2,318"
03.02.2020 20:00,03.02.2020 21:00,"2,424"
03.02.2020 21:00,03.02.2020 22:00,"2,178"
03.02.2020 22:00,03.02.2020 23:00,"1,866"
03.02.2020 23:00,04.02.2020 00:00,"1,97"
04.02.2020 00:00,04.02.2020 01:00,"1,57"
04.02.2020 01:00,04.02.2020 02:00,"1,609"
04.02.2020 02:00,04.02.2020 03:00,"2,101"
04.02.2020 03:00,04.02.2020 04:00,"1,562"
04.02.2020 04:00,04.02.2020 05:00,"1,683"
04.02.2020 05:00,04.02.2020 06:00,"1,688"
04.02.2020 06:00,04.02.2020 07:00,"1,747"
04.02.2020 07:00,04.02.2020 08:00,"2,626"
04.02.2020 08:00,04.02.2020 09:00,"1,647"
04.02.2020 09:00,04.02.2020 10:00,"1,63"
04.02.2020 10:00,04.02.2020 11:00,"2,066"
04.02.2020 11:00,04.02.2020 12:00,"1,909"
04.02.2020 12:00,04.02.2020 13:00,"1,609"
04.02.2020 13:00,04.02.2020 14:00,"1,675"
04.02.2020 14:00,04.02.2020 15:00,"1,669"
04.02.2020 15:00,04.02.2020 16:00,"2,042"
04.02.2020 16:00,04.02.2020 17:00,"1,764"
04.02.2020 17:00,04.02.2020 18:00,"1,902"
04.02.2020 18:00,04.02.2020 19:00,"1,803"
04.02.2020 19:00,04.02.2020 20:00,"3,379"
04.02.2020 20:00,04.02.2020 21:00,"3,28"
04.02.2020 21:00,04.02.2020 22:00,"2,557"
