Fra,Til,KWH 60 Forbruk
01.01.2021 00:00,01.01.2021 01:00,"1,998"
01.01.2021 01:00,01.01.2021 02:00,"1,987"
01.01.2021 02:00,01.01.2021 03:00,"2,529"
01.01.2021 03:00,01.01.2021 04:00,"1,967"
01.01.2021 04:00,01.01.2021 05:00,"1,962"
01.01.2021 05:00,01.01.2021 06:00,"2,014"
01.01.2021 06:00,01.01.2021 07:00,"1,98"
01.01.2021 07:00,01.01.2021 08:00,"1,986"
01.01.2021 08:00,01.01.2021 09:00,"2,31"
01.01.2021 09:00,01.01.2021 10:00,"2,316"
01.01.2021 10:00,01.01.2021 11:00,"1,962"
01.01.2021 11:00,01.01.2021 12:00,"1,978"
01.01.2021 12:00,01.01.2021 13:00,"1,999"
01.01.2021 13:00,01.01.2021 14:00,"2,026"
01.01.2021 14:00,01.01.2021 15:00,"2,083"
01.01.2021 15:00,01.01.2021 16:00,"2,52"
01.01.2021 16:00,01.01.2021 17:00,"2,022"
01.01.2021 17:00,01.01.2021 18:00,"2,027"
01.01.2021 18:00,01.01.2021 19:00,"2,003"
01.01.2021 19:00,01.01.2021 20:00,"1,983"
01.01.2021 20:00,01.01.2021 21:00,"1,948"
01.01.2021 21:00,01.01.2021 22:00,"1,976"
01.01.2021 22:00,01.01.2021 23:00,"2,627"
01.01.2021 23:00,02.01.2021 00:00,"1,951"
02.01.2021 00:00,02.01.2021 01:00,"1,973"
02.01.2021 01:00,02.01.2021 02:00,"1,982"
02.01.2021 02:00,02.01.2021 03:00,"2,017"
02.01.2021 03:00,02.01.2021 04:00,"2,032"
02.01.2021 04:00,02.01.2021 05:00,"1,948"
02.01.2021 05:00,02.01.2021 06:00,"2,586"
02.01.2021 06:00,02.01.2021 07:00,"1,952"
02.01.2021 07:00,02.01.2021 08:00,"2,025"
02.01.2021 08:00,02.01.2021 09:00,"1,954"
02.01.2021 09:00,02.01.2021 10:00,"1,947"
02.01.2021 10:00,02.01.2021 11:00,"2,028"
02.01.2021 11:00,02.01.2021 12:00,"2,021"
02.01.2021 12:00,02.01.2021 13:00,"2,387"
02.01.2021 13:00,02.01.2021 14:00,"2,014"
02.01.2021 14:00,02.01.2021 15:00,"2,021"
02.01.2021 15:00,02.01.2021 16:00,"2,28"
02.01.2021 16:00,02.01.2021 17:00,"3,392"
02.01.2021 17:00,02.01.2021 18:00,"2,744"
02.01.2021 18:00,02.01.2021 19:00,"4,296"
02.01.2021 19:00,02.01.2021 20:00,"2,901"
02.01.2021 20:00,02.01.2021 21:00,"2,048"
02.01.2021 21:00,02.01.2021 22:00,"2,988"
02.01.2021 22:00,02.01.2021 23:00,"1,894"
02.01.2021 23:00,03.01.2021 00:00,"1,857"
03.01.2021 00:00,03.01.2021 01:00,"2,279"
03.01.2021 01:00,03.01.2021 02:00,"3,314"
