Fra,Til,KWH 60 Forbruk
01.05.2021 00:00,01.05.2021 01:00,"1,564"
01.05.2021 01:00,01.05.2021 02:00,"0,462"
01.05.2021 02:00,01.05.2021 03:00,"0,891"
01.05.2021 03:00,01.05.2021 04:00,"0,45"
01.05.2021 04:00,01.05.2021 05:00,"0,454"
01.05.2021 05:00,01.05.2021 06:00,"0,639"
01.05.2021 06:00,01.05.2021 07:00,"1,28"
01.05.2021 07:00,01.05.2021 08:00,"0,739"
01.05.2021 08:00,01.05.2021 09:00,"0,73"
01.05.2021 09:00,01.05.2021 10:00,"1,95"
01.05.2021 10:00,01.05.2021 11:00,"2,329"
01.05.2021 11:00,01.05.2021 12:00,"1,879"
01.05.2021 12:00,01.05.2021 13:00,"0,725"
01.05.2021 13:00,01.05.2021 14:00,"1,924"
01.05.2021 14:00,01.05.2021 15:00,"2,633"
01.05.2021 15:00,01.05.2021 16:00,"0,861"
01.05.2021 16:00,01.05.2021 17:00,"2,72"
01.05.2021 17:00,01.05.2021 18:00,"1,045"
01.05.2021 18:00,01.05.2021 19:00,"0,757"
01.05.2021 19:00,01.05.2021 20:00,"0,786"
01.05.2021 20:00,01.05.2021 21:00,"2,832"
01.05.2021 21:00,01.05.2021 22:00,"1,902"
01.05.2021 22:00,01.05.2021 23:00,"0,72"
01.05.2021 23:00,02.05.2021 00:00,"0,771"
02.05.2021 00:00,02.05.2021 01:00,"0,965"
02.05.2021 01:00,02.05.2021 02:00,"0,448"
02.05.2021 02:00,02.05.2021 03:00,"0,444"
02.05.2021 03:00,02.05.2021 04:00,"0,987"
02.05.2021 04:00,02.05.2021 05:00,"0,443"
02.05.2021 05:00,02.05.2021 06:00,"0,577"
02.05.2021 06:00,02.05.2021 07:00,"0,668"
02.05.2021 07:00,02.05.2021 08:00,"0,668"
02.05.2021 08:00,02.05.2021 09:00,"1,226"
02.05.2021 09:00,02.05.2021 10:00,"1,061"
02.05.2021 10:00,02.05.2021 11:00,"1,892"
02.05.2021 11:00,02.05.2021 12:00,"1,813"
02.05.2021 12:00,02.05.2021 13:00,"1,292"
02.05.2021 13:00,02.05.2021 14:00,"1,604"
02.05.2021 14:00,02.05.2021 15:00,"2,275"
02.05.2021 15:00,02.05.2021 16:00,"0,875"
02.05.2021 16:00,02.05.2021 17:00,"1,294"
02.05.2021 17:00,02.05.2021 18:00,"1,53"
02.05.2021 18:00,02.05.2021 19:00,"1,274"
02.05.2021 19:00,02.05.2021 20:00,"1,268"
02.05.2021 20:00,02.05.2021 21:00,"0,717"
02.05.2021 21:00,02.05.2021 22:00,"1,474"
02.05.2021 22:00,02.05.2021 23:00,"0,725"
02.05.2021 23:00,03.05.2021 00:00,"0,447"
03.05.2021 00:00,03.05.2021 01:00,"0,444"
03.05.2021 01:00,03.05.2021 02:00,"0,95"
03.05.2021 02:00,03.05.2021 03:00,"0,446"
03.05.2021 03:00,03.05.2021 04:00,"0,446"
03.05.2021 04:00,03.05.2021 05:00,"0,448"
03.05.2021 05:00,03.05.2021 06:00,"0,626"
03.05.2021 06:00,03.05.2021 07:00,"1,219"
03.05.2021 07:00,03.05.2021 08:00,"2,851"
03.05.2021 08:00,03.05.2021 09:00,"2,605"
03.05.2021 09:00,03.05.2021 10:00,"0,939"
03.05.2021 10:00,03.05.2021 11:00,"1,521"
03.05.2021 11:00,03.05.2021 12:00,"1,178"
03.05.2021 12:00,03.05.2021 13:00,"1,366"
03.05.2021 13:00,03.05.2021 14:00,"1,38"
03.05.2021 14:00,03.05.2021 15:00,"1,252"
03.05.2021 15:00,03.05.2021 16:00,"1,146"
03.05.2021 16:00,03.05.2021 17:00,"0,706"
03.05.2021 17:00,03.05.2021 18:00,"1,52"
03.05.2021 18:00,03.05.2021 19:00,"1,064"
03.05.2021 19:00,03.05.2021 20:00,"3,814"
03.05.2021 20:00,03.05.2021 21:00,"1,891"
03.05.2021 21:00,03.05.2021 22:00,"0,789"
03.05.2021 22:00,03.05.2021 23:00,"1,214"
03.05.2021 23:00,04.05.2021 00:00,"0,43"
04.05.2021 00:00,04.05.2021 01:00,"0,642"
04.05.2021 01:00,04.05.2021 02:00,"0,706"
04.05.2021 02:00,04.05.2021 03:00,"0,423"
04.05.2021 03:00,04.05.2021 04:00,"0,425"
04.05.2021 04:00,04.05.2021 05:00,"0,422"
04.05.2021 05:00,04.05.2021 06:00,"1,251"
04.05.2021 06:00,04.05.2021 07:00,"0,782"
04.05.2021 07:00,04.05.2021 08:00,"0,828"
04.05.2021 08:00,04.05.2021 09:00,"1,07"
04.05.2021 09:00,04.05.2021 10:00,"1,693"
04.05.2021 10:00,04.05.2021 11:00,"0,984"
04.05.2021 11:00,04.05.2021 12:00,"1,483"
04.05.2021 12:00,04.05.2021 13:00,"3,016"
04.05.2021 13:00,04.05.2021 14:00,"1,049"
04.05.2021 14:00,04.05.2021 15:00,"1,509"
04.05.2021 15:00,04.05.2021 16:00,"2,109"
04.05.2021 16:00,04.05.2021 17:00,"1,805"
04.05.2021 17:00,04.05.2021 18:00,"2,098"
04.05.2021 18:00,04.05.2021 19:00,"3,894"
04.05.2021 19:00,04.05.2021 20:00,"1,994"
04.05.2021 20:00,04.05.2021 21:00,"1,988"
04.05.2021 21:00,04.05.2021 22:00,"1,943"
04.05.2021 22:00,04.05.2021 23:00,"2,72"
04.05.2021 23:00,05.05.2021 00:00,"0,443"
05.05.2021 00:00,05.05.2021 01:00,"0,423"
05.05.2021 01:00,05.05.2021 02:00,"0,944"
05.05.2021 02:00,05.05.2021 03:00,"0,402"
05.05.2021 03:00,05.05.2021 04:00,"0,419"
05.05.2021 04:00,05.05.2021 05:00,"1,85"
05.05.2021 05:00,05.05.2021 06:00,"2,874"
05.05.2021 06:00,05.05.2021 07:00,"2,235"
05.05.2021 07:00,05.05.2021 08:00,"2,295"
05.05.2021 08:00,05.05.2021 09:00,"2,878"
05.05.2021 09:00,05.05.2021 10:00,"2,176"
05.05.2021 10:00,05.05.2021 11:00,"2,582"
05.05.2021 11:00,05.05.2021 12:00,"2,052"
05.05.2021 12:00,05.05.2021 13:00,"1,794"
05.05.2021 13:00,05.05.2021 14:00,"2,244"
05.05.2021 14:00,05.05.2021 15:00,"1,793"
05.05.2021 15:00,05.05.2021 16:00,"2,062"
05.05.2021 16:00,05.05.2021 17:00,"1,933"
05.05.2021 17:00,05.05.2021 18:00,"1,822"
05.05.2021 18:00,05.05.2021 19:00,"2,757"
05.05.2021 19:00,05.05.2021 20:00,"3,855"
05.05.2021 20:00,05.05.2021 21:00,"2,915"
05.05.2021 21:00,05.05.2021 22:00,"2,45"
05.05.2021 22:00,05.05.2021 23:00,"1,87"
05.05.2021 23:00,06.05.2021 00:00,"0,934"
06.05.2021 00:00,06.05.2021 01:00,"0,449"
06.05.2021 01:00,06.05.2021 02:00,"0,452"
06.05.2021 02:00,06.05.2021 03:00,"0,952"
06.05.2021 03:00,06.05.2021 04:00,"0,46"
06.05.2021 04:00,06.05.2021 05:00,"1,85"
06.05.2021 05:00,06.05.2021 06:00,"2,547"
06.05.2021 06:00,06.05.2021 07:00,"2,776"
06.05.2021 07:00,06.05.2021 08:00,"4,32"
06.05.2021 08:00,06.05.2021 09:00,"4,155"
06.05.2021 09:00,06.05.2021 10:00,"2,337"
06.05.2021 10:00,06.05.2021 11:00,"2,489"
06.05.2021 11:00,06.05.2021 12:00,"1,787"
06.05.2021 12:00,06.05.2021 13:00,"2,228"
06.05.2021 13:00,06.05.2021 14:00,"1,805"
06.05.2021 14:00,06.05.2021 15:00,"1,795"
06.05.2021 15:00,06.05.2021 16:00,"2,641"
06.05.2021 16:00,06.05.2021 17:00,"1,672"
06.05.2021 17:00,06.05.2021 18:00,"2,045"
06.05.2021 18:00,06.05.2021 19:00,"4,311"
06.05.2021 19:00,06.05.2021 20:00,"2,153"
06.05.2021 20:00,06.05.2021 21:00,"1,697"
06.05.2021 21:00,06.05.2021 22:00,"1,608"
06.05.2021 22:00,06.05.2021 23:00,"2,157"
06.05.2021 23:00,07.05.2021 00:00,"0,436"
07.05.2021 00:00,07.05.2021 01:00,"0,445"
07.05.2021 01:00,07.05.2021 02:00,"0,973"
07.05.2021 02:00,07.05.2021 03:00,"0,459"
07.05.2021 03:00,07.05.2021 04:00,"0,469"
07.05.2021 04:00,07.05.2021 05:00,"1,814"
07.05.2021 05:00,07.05.2021 06:00,"2,21"
07.05.2021 06:00,07.05.2021 07:00,"2,598"
07.05.2021 07:00,07.05.2021 08:00,"2,58"
07.05.2021 08:00,07.05.2021 09:00,"2,864"
07.05.2021 09:00,07.05.2021 10:00,"2,178"
07.05.2021 10:00,07.05.2021 11:00,"1,393"
07.05.2021 11:00,07.05.2021 12:00,"1,915"
07.05.2021 12:00,07.05.2021 13:00,"1,611"
07.05.2021 13:00,07.05.2021 14:00,"1,375"
07.05.2021 14:00,07.05.2021 15:00,"1,35"
07.05.2021 15:00,07.05.2021 16:00,"1,804"
07.05.2021 16:00,07.05.2021 17:00,"1,692"
07.05.2021 17:00,07.05.2021 18:00,"1,366"
07.05.2021 18:00,07.05.2021 19:00,"2,996"
07.05.2021 19:00,07.05.2021 20:00,"1,658"
07.05.2021 20:00,07.05.2021 21:00,"1,865"
07.05.2021 21:00,07.05.2021 22:00,"1,592"
07.05.2021 22:00,07.05.2021 23:00,"1,519"
07.05.2021 23:00,08.05.2021 00:00,"0,795"
08.05.2021 00:00,08.05.2021 01:00,"0,795"
08.05.2021 01:00,08.05.2021 02:00,"0,887"
08.05.2021 02:00,08.05.2021 03:00,"0,433"
08.05.2021 03:00,08.05.2021 04:00,"0,417"
08.05.2021 04:00,08.05.2021 05:00,"0,906"
08.05.2021 05:00,08.05.2021 06:00,"1,551"
