Fra,Til,KWH 60 Forbruk
01.12.2020 00:00,01.12.2020 01:00,"1,654"
01.12.2020 01:00,01.12.2020 02:00,"1,665"
01.12.2020 02:00,01.12.2020 03:00,"1,679"
01.12.2020 03:00,01.12.2020 04:00,"2,187"
01.12.2020 04:00,01.12.2020 05:00,"1,743"
01.12.2020 05:00,01.12.2020 06:00,"1,658"
01.12.2020 06:00,01.12.2020 07:00,"1,71"
01.12.2020 07:00,01.12.2020 08:00,"1,688"
01.12.2020 08:00,01.12.2020 09:00,"3,029"
01.12.2020 09:00,01.12.2020 10:00,"3,283"
01.12.2020 10:00,01.12.2020 11:00,"2,679"
01.12.2020 11:00,01.12.2020 12:00,"2,567"
01.12.2020 12:00,01.12.2020 13:00,"4,043"
01.12.2020 13:00,01.12.2020 14:00,"3,342"
01.12.2020 14:00,01.12.2020 15:00,"3,219"
01.12.2020 15:00,01.12.2020 16:00,"3,673"
01.12.2020 16:00,01.12.2020 17:00,"2,881"
01.12.2020 17:00,01.12.2020 18:00,"2,662"
01.12.2020 18:00,01.12.2020 19:00,"3,551"
01.12.2020 19:00,01.12.2020 20:00,"2,593"
01.12.2020 20:00,01.12.2020 21:00,"3,172"
01.12.2020 21:00,01.12.2020 22:00,"2,424"
01.12.2020 22:00,01.12.2020 23:00,"2,777"
01.12.2020 23:00,02.12.2020 00:00,"2,756"
02.12.2020 00:00,02.12.2020 01:00,"2,259"
02.12.2020 01:00,02.12.2020 02:00,"2,196"
02.12.2020 02:00,02.12.2020 03:00,"2,39"
02.12.2020 03:00,02.12.2020 04:00,"2,311"
02.12.2020 04:00,02.12.2020 05:00,"2,331"
02.12.2020 05:00,02.12.2020 06:00,"2,259"
02.12.2020 06:00,02.12.2020 07:00,"1,93"
02.12.2020 07:00,02.12.2020 08:00,"2,706"
02.12.2020 08:00,02.12.2020 09:00,"2,547"
02.12.2020 09:00,02.12.2020 10:00,"2,926"
02.12.2020 10:00,02.12.2020 11:00,"2,51"
02.12.2020 11:00,02.12.2020 12:00,"2,766"
02.12.2020 12:00,02.12.2020 13:00,"2,639"
02.12.2020 13:00,02.12.2020 14:00,"2,423"
02.12.2020 14:00,02.12.2020 15:00,"3,919"
02.12.2020 15:00,02.12.2020 16:00,"2,86"
02.12.2020 16:00,02.12.2020 17:00,"3,74"
02.12.2020 17:00,02.12.2020 18:00,"3,114"
02.12.2020 18:00,02.12.2020 19:00,"3,845"
02.12.2020 19:00,02.12.2020 20:00,"2,386"
02.12.2020 20:00,02.12.2020 21:00,"3,014"
02.12.2020 21:00,02.12.2020 22:00,"2,457"
02.12.2020 22:00,02.12.2020 23:00,"2,575"
02.12.2020 23:00,03.12.2020 00:00,"1,555"
03.12.2020 00:00,03.12.2020 01:00,"1,583"
03.12.2020 01:00,03.12.2020 02:00,"1,577"
03.12.2020 02:00,03.12.2020 03:00,"2,167"
03.12.2020 03:00,03.12.2020 04:00,"1,549"
03.12.2020 04:00,03.12.2020 05:00,"1,613"
03.12.2020 05:00,03.12.2020 06:00,"1,615"
03.12.2020 06:00,03.12.2020 07:00,"1,7"
03.12.2020 07:00,03.12.2020 08:00,"3,643"
03.12.2020 08:00,03.12.2020 09:00,"3,815"
03.12.2020 09:00,03.12.2020 10:00,"2,639"
03.12.2020 10:00,03.12.2020 11:00,"2,315"
03.12.2020 11:00,03.12.2020 12:00,"2,19"
03.12.2020 12:00,03.12.2020 13:00,"2,038"
03.12.2020 13:00,03.12.2020 14:00,"2,544"
03.12.2020 14:00,03.12.2020 15:00,"1,854"
03.12.2020 15:00,03.12.2020 16:00,"2,166"
03.12.2020 16:00,03.12.2020 17:00,"3,256"
03.12.2020 17:00,03.12.2020 18:00,"3,535"
03.12.2020 18:00,03.12.2020 19:00,"1,977"
03.12.2020 19:00,03.12.2020 20:00,"3,671"
03.12.2020 20:00,03.12.2020 21:00,"2,556"
03.12.2020 21:00,03.12.2020 22:00,"2,614"
03.12.2020 22:00,03.12.2020 23:00,"2,138"
03.12.2020 23:00,04.12.2020 00:00,"2,019"
04.12.2020 00:00,04.12.2020 01:00,"1,844"
04.12.2020 01:00,04.12.2020 02:00,"2,162"
04.12.2020 02:00,04.12.2020 03:00,"1,818"
04.12.2020 03:00,04.12.2020 04:00,"1,769"
04.12.2020 04:00,04.12.2020 05:00,"1,683"
04.12.2020 05:00,04.12.2020 06:00,"2,349"
04.12.2020 06:00,04.12.2020 07:00,"1,823"
04.12.2020 07:00,04.12.2020 08:00,"1,707"
04.12.2020 08:00,04.12.2020 09:00,"2,035"
04.12.2020 09:00,04.12.2020 10:00,"3,915"
04.12.2020 10:00,04.12.2020 11:00,"3,461"
04.12.2020 11:00,04.12.2020 12:00,"2,254"
04.12.2020 12:00,04.12.2020 13:00,"2,431"
04.12.2020 13:00,04.12.2020 14:00,"2,81"
04.12.2020 14:00,04.12.2020 15:00,"2,382"
04.12.2020 15:00,04.12.2020 16:00,"2,378"
04.12.2020 16:00,04.12.2020 17:00,"2,965"
04.12.2020 17:00,04.12.2020 18:00,"3,069"
04.12.2020 18:00,04.12.2020 19:00,"2,307"
04.12.2020 19:00,04.12.2020 20:00,"2,117"
04.12.2020 20:00,04.12.2020 21:00,"2,313"
04.12.2020 21:00,04.12.2020 22:00,"2,837"
04.12.2020 22:00,04.12.2020 23:00,"2,029"
04.12.2020 23:00,05.12.2020 00:00,"2,395"
