Fra,Til,KWH 60 Forbruk
01.04.2021 00:00,01.04.2021 01:00,"1,382"
01.04.2021 01:00,01.04.2021 02:00,"1,993"
01.04.2021 02:00,01.04.2021 03:00,"1,438"
01.04.2021 03:00,01.04.2021 04:00,"1,462"
01.04.2021 04:00,01.04.2021 05:00,"1,483"
01.04.2021 05:00,01.04.2021 06:00,"1,511"
01.04.2021 06:00,01.04.2021 07:00,"1,549"
01.04.2021 07:00,01.04.2021 08:00,"1,612"
01.04.2021 08:00,01.04.2021 09:00,"1,962"
01.04.2021 09:00,01.04.2021 10:00,"1,824"
01.04.2021 10:00,01.04.2021 11:00,"1,574"
01.04.2021 11:00,01.04.2021 12:00,"1,455"
01.04.2021 12:00,01.04.2021 13:00,"1,425"
01.04.2021 13:00,01.04.2021 14:00,"1,462"
01.04.2021 14:00,01.04.2021 15:00,"1,474"
01.04.2021 15:00,01.04.2021 16:00,"1,635"
01.04.2021 16:00,01.04.2021 17:00,"1,757"
01.04.2021 17:00,01.04.2021 18:00,"1,226"
01.04.2021 18:00,01.04.2021 19:00,"1,216"
01.04.2021 19:00,01.04.2021 20:00,"1,336"
01.04.2021 20:00,01.04.2021 21:00,"1,385"
01.04.2021 21:00,01.04.2021 22:00,"1,408"
01.04.2021 22:00,01.04.2021 23:00,"1,877"
01.04.2021 23:00,02.04.2021 00:00,"1,638"
02.04.2021 00:00,02.04.2021 01:00,"1,498"
02.04.2021 01:00,02.04.2021 02:00,"1,52"
02.04.2021 02:00,02.04.2021 03:00,"1,545"
02.04.2021 03:00,02.04.2021 04:00,"1,535"
02.04.2021 04:00,02.04.2021 05:00,"1,591"
02.04.2021 05:00,02.04.2021 06:00,"2,062"
02.04.2021 06:00,02.04.2021 07:00,"1,65"
02.04.2021 07:00,02.04.2021 08:00,"1,624"
02.04.2021 08:00,02.04.2021 09:00,"1,612"
02.04.2021 09:00,02.04.2021 10:00,"1,599"
02.04.2021 10:00,02.04.2021 11:00,"1,406"
02.04.2021 11:00,02.04.2021 12:00,"1,295"
02.04.2021 12:00,02.04.2021 13:00,"1,857"
02.04.2021 13:00,02.04.2021 14:00,"1,331"
02.04.2021 14:00,02.04.2021 15:00,"1,342"
02.04.2021 15:00,02.04.2021 16:00,"1,356"
02.04.2021 16:00,02.04.2021 17:00,"1,301"
02.04.2021 17:00,02.04.2021 18:00,"1,24"
02.04.2021 18:00,02.04.2021 19:00,"1,273"
02.04.2021 19:00,02.04.2021 20:00,"1,917"
02.04.2021 20:00,02.04.2021 21:00,"1,396"
02.04.2021 21:00,02.04.2021 22:00,"1,408"
02.04.2021 22:00,02.04.2021 23:00,"1,515"
02.04.2021 23:00,03.04.2021 00:00,"1,532"
03.04.2021 00:00,03.04.2021 01:00,"1,522"
03.04.2021 01:00,03.04.2021 02:00,"1,543"
03.04.2021 02:00,03.04.2021 03:00,"2,152"
03.04.2021 03:00,03.04.2021 04:00,"1,588"
03.04.2021 04:00,03.04.2021 05:00,"1,651"
03.04.2021 05:00,03.04.2021 06:00,"1,657"
03.04.2021 06:00,03.04.2021 07:00,"1,631"
03.04.2021 07:00,03.04.2021 08:00,"1,712"
03.04.2021 08:00,03.04.2021 09:00,"1,727"
03.04.2021 09:00,03.04.2021 10:00,"2,266"
03.04.2021 10:00,03.04.2021 11:00,"1,621"
03.04.2021 11:00,03.04.2021 12:00,"1,509"
03.04.2021 12:00,03.04.2021 13:00,"1,512"
03.04.2021 13:00,03.04.2021 14:00,"1,581"
03.04.2021 14:00,03.04.2021 15:00,"1,558"
03.04.2021 15:00,03.04.2021 16:00,"1,543"
03.04.2021 16:00,03.04.2021 17:00,"2,08"
03.04.2021 17:00,03.04.2021 18:00,"1,383"
03.04.2021 18:00,03.04.2021 19:00,"1,324"
03.04.2021 19:00,03.04.2021 20:00,"1,429"
03.04.2021 20:00,03.04.2021 21:00,"1,472"
03.04.2021 21:00,03.04.2021 22:00,"1,494"
03.04.2021 22:00,03.04.2021 23:00,"1,549"
03.04.2021 23:00,04.04.2021 00:00,"2,156"
04.04.2021 00:00,04.04.2021 01:00,"1,574"
04.04.2021 01:00,04.04.2021 02:00,"1,611"
04.04.2021 02:00,04.04.2021 03:00,"1,613"
04.04.2021 03:00,04.04.2021 04:00,"1,643"
04.04.2021 04:00,04.04.2021 05:00,"1,667"
04.04.2021 05:00,04.04.2021 06:00,"1,679"
04.04.2021 06:00,04.04.2021 07:00,"2,25"
04.04.2021 07:00,04.04.2021 08:00,"1,744"
04.04.2021 08:00,04.04.2021 09:00,"1,714"
04.04.2021 09:00,04.04.2021 10:00,"1,731"
04.04.2021 10:00,04.04.2021 11:00,"1,442"
04.04.2021 11:00,04.04.2021 12:00,"1,356"
04.04.2021 12:00,04.04.2021 13:00,"1,43"
04.04.2021 13:00,04.04.2021 14:00,"2,043"
04.04.2021 14:00,04.04.2021 15:00,"1,49"
04.04.2021 15:00,04.04.2021 16:00,"1,539"
04.04.2021 16:00,04.04.2021 17:00,"1,528"
04.04.2021 17:00,04.04.2021 18:00,"1,508"
04.04.2021 18:00,04.04.2021 19:00,"1,534"
04.04.2021 19:00,04.04.2021 20:00,"1,537"
04.04.2021 20:00,04.04.2021 21:00,"2,057"
04.04.2021 21:00,04.04.2021 22:00,"1,565"
04.04.2021 22:00,04.04.2021 23:00,"1,566"
04.04.2021 23:00,05.04.2021 00:00,"1,571"
05.04.2021 00:00,05.04.2021 01:00,"1,603"
05.04.2021 01:00,05.04.2021 02:00,"1,618"
05.04.2021 02:00,05.04.2021 03:00,"2,019"
05.04.2021 03:00,05.04.2021 04:00,"1,919"
05.04.2021 04:00,05.04.2021 05:00,"1,732"
05.04.2021 05:00,05.04.2021 06:00,"1,788"
05.04.2021 06:00,05.04.2021 07:00,"1,779"
05.04.2021 07:00,05.04.2021 08:00,"1,844"
05.04.2021 08:00,05.04.2021 09:00,"1,903"
05.04.2021 09:00,05.04.2021 10:00,"2,435"
05.04.2021 10:00,05.04.2021 11:00,"1,755"
05.04.2021 11:00,05.04.2021 12:00,"1,594"
05.04.2021 12:00,05.04.2021 13:00,"1,578"
05.04.2021 13:00,05.04.2021 14:00,"1,676"
05.04.2021 14:00,05.04.2021 15:00,"1,548"
05.04.2021 15:00,05.04.2021 16:00,"2,096"
05.04.2021 16:00,05.04.2021 17:00,"1,486"
05.04.2021 17:00,05.04.2021 18:00,"1,489"
05.04.2021 18:00,05.04.2021 19:00,"1,573"
05.04.2021 19:00,05.04.2021 20:00,"1,661"
05.04.2021 20:00,05.04.2021 21:00,"2,088"
05.04.2021 21:00,05.04.2021 22:00,"2,656"
05.04.2021 22:00,05.04.2021 23:00,"1,914"
05.04.2021 23:00,06.04.2021 00:00,"1,419"
06.04.2021 00:00,06.04.2021 01:00,"1,984"
06.04.2021 01:00,06.04.2021 02:00,"1,479"
06.04.2021 02:00,06.04.2021 03:00,"1,494"
06.04.2021 03:00,06.04.2021 04:00,"1,54"
06.04.2021 04:00,06.04.2021 05:00,"2,072"
06.04.2021 05:00,06.04.2021 06:00,"1,568"
06.04.2021 06:00,06.04.2021 07:00,"1,573"
06.04.2021 07:00,06.04.2021 08:00,"1,729"
06.04.2021 08:00,06.04.2021 09:00,"2,319"
06.04.2021 09:00,06.04.2021 10:00,"1,77"
06.04.2021 10:00,06.04.2021 11:00,"2,724"
06.04.2021 11:00,06.04.2021 12:00,"1,703"
06.04.2021 12:00,06.04.2021 13:00,"3,873"
06.04.2021 13:00,06.04.2021 14:00,"4,088"
06.04.2021 14:00,06.04.2021 15:00,"2,689"
06.04.2021 15:00,06.04.2021 16:00,"1,454"
06.04.2021 16:00,06.04.2021 17:00,"2,451"
06.04.2021 17:00,06.04.2021 18:00,"2,818"
06.04.2021 18:00,06.04.2021 19:00,"3,411"
06.04.2021 19:00,06.04.2021 20:00,"2,453"
06.04.2021 20:00,06.04.2021 21:00,"3,587"
06.04.2021 21:00,06.04.2021 22:00,"2,847"
06.04.2021 22:00,06.04.2021 23:00,"1,956"
06.04.2021 23:00,07.04.2021 00:00,"1,89"
07.04.2021 00:00,07.04.2021 01:00,"1,442"
07.04.2021 01:00,07.04.2021 02:00,"1,457"
07.04.2021 02:00,07.04.2021 03:00,"1,498"
07.04.2021 03:00,07.04.2021 04:00,"2,055"
07.04.2021 04:00,07.04.2021 05:00,"1,526"
07.04.2021 05:00,07.04.2021 06:00,"1,581"
07.04.2021 06:00,07.04.2021 07:00,"1,586"
07.04.2021 07:00,07.04.2021 08:00,"2,464"
07.04.2021 08:00,07.04.2021 09:00,"2,057"
07.04.2021 09:00,07.04.2021 10:00,"2,232"
07.04.2021 10:00,07.04.2021 11:00,"1,723"
07.04.2021 11:00,07.04.2021 12:00,"1,586"
07.04.2021 12:00,07.04.2021 13:00,"1,546"
07.04.2021 13:00,07.04.2021 14:00,"2,008"
07.04.2021 14:00,07.04.2021 15:00,"1,497"
07.04.2021 15:00,07.04.2021 16:00,"1,44"
07.04.2021 16:00,07.04.2021 17:00,"2,3"
07.04.2021 17:00,07.04.2021 18:00,"3,53"
07.04.2021 18:00,07.04.2021 19:00,"2,499"
07.04.2021 19:00,07.04.2021 20:00,"1,503"
07.04.2021 20:00,07.04.2021 21:00,"2,09"
07.04.2021 21:00,07.04.2021 22:00,"1,855"
07.04.2021 22:00,07.04.2021 23:00,"2,291"
07.04.2021 23:00,08.04.2021 00:00,"1,404"
08.04.2021 00:00,08.04.2021 01:00,"1,41"
08.04.2021 01:00,08.04.2021 02:00,"1,361"
08.04.2021 02:00,08.04.2021 03:00,"1,557"
08.04.2021 03:00,08.04.2021 04:00,"1,839"
08.04.2021 04:00,08.04.2021 05:00,"1,445"
08.04.2021 05:00,08.04.2021 06:00,"1,47"
08.04.2021 06:00,08.04.2021 07:00,"1,45"
08.04.2021 07:00,08.04.2021 08:00,"1,546"
08.04.2021 08:00,08.04.2021 09:00,"2,394"
08.04.2021 09:00,08.04.2021 10:00,"1,779"
08.04.2021 10:00,08.04.2021 11:00,"2,006"
08.04.2021 11:00,08.04.2021 12:00,"1,453"
08.04.2021 12:00,08.04.2021 13:00,"2,691"
08.04.2021 13:00,08.04.2021 14:00,"2,103"
08.04.2021 14:00,08.04.2021 15:00,"1,674"
08.04.2021 15:00,08.04.2021 16:00,"1,899"
08.04.2021 16:00,08.04.2021 17:00,"1,499"
08.04.2021 17:00,08.04.2021 18:00,"1,603"
08.04.2021 18:00,08.04.2021 19:00,"4,098"
08.04.2021 19:00,08.04.2021 20:00,"2,693"
08.04.2021 20:00,08.04.2021 21:00,"3,362"
08.04.2021 21:00,08.04.2021 22:00,"2,523"
08.04.2021 22:00,08.04.2021 23:00,"4,364"
08.04.2021 23:00,09.04.2021 00:00,"2,663"
09.04.2021 00:00,09.04.2021 01:00,"1,405"
09.04.2021 01:00,09.04.2021 02:00,"1,514"
09.04.2021 02:00,09.04.2021 03:00,"2,033"
09.04.2021 03:00,09.04.2021 04:00,"1,454"
09.04.2021 04:00,09.04.2021 05:00,"1,44"
09.04.2021 05:00,09.04.2021 06:00,"1,625"
09.04.2021 06:00,09.04.2021 07:00,"2,161"
09.04.2021 07:00,09.04.2021 08:00,"2,318"
09.04.2021 08:00,09.04.2021 09:00,"0,843"
09.04.2021 09:00,09.04.2021 10:00,"1,079"
09.04.2021 10:00,09.04.2021 11:00,"1,079"
09.04.2021 11:00,09.04.2021 12:00,"1,079"
09.04.2021 12:00,09.04.2021 13:00,"2,181"
09.04.2021 13:00,09.04.2021 14:00,"1,915"
09.04.2021 14:00,09.04.2021 15:00,"2,402"
09.04.2021 15:00,09.04.2021 16:00,"1,738"
09.04.2021 16:00,09.04.2021 17:00,"2,785"
09.04.2021 17:00,09.04.2021 18:00,"3,231"
09.04.2021 18:00,09.04.2021 19:00,"1,933"
09.04.2021 19:00,09.04.2021 20:00,"1,412"
09.04.2021 20:00,09.04.2021 21:00,"2,238"
09.04.2021 21:00,09.04.2021 22:00,"1,644"
09.04.2021 22:00,09.04.2021 23:00,"2,138"
09.04.2021 23:00,10.04.2021 00:00,"1,655"
10.04.2021 00:00,10.04.2021 01:00,"1,599"
10.04.2021 01:00,10.04.2021 02:00,"2,004"
10.04.2021 02:00,10.04.2021 03:00,"1,511"
10.04.2021 03:00,10.04.2021 04:00,"1,519"
10.04.2021 04:00,10.04.2021 05:00,"1,523"
10.04.2021 05:00,10.04.2021 06:00,"1,557"
10.04.2021 06:00,10.04.2021 07:00,"2,101"
10.04.2021 07:00,10.04.2021 08:00,"1,549"
10.04.2021 08:00,10.04.2021 09:00,"1,557"
10.04.2021 09:00,10.04.2021 10:00,"1,814"
10.04.2021 10:00,10.04.2021 11:00,"3,599"
10.04.2021 11:00,10.04.2021 12:00,"4,255"
10.04.2021 12:00,10.04.2021 13:00,"2,995"
10.04.2021 13:00,10.04.2021 14:00,"2,669"
10.04.2021 14:00,10.04.2021 15:00,"2,041"
10.04.2021 15:00,10.04.2021 16:00,"2,022"
10.04.2021 16:00,10.04.2021 17:00,"4,508"
10.04.2021 17:00,10.04.2021 18:00,"3,546"
10.04.2021 18:00,10.04.2021 19:00,"3,25"
10.04.2021 19:00,10.04.2021 20:00,"1,942"
10.04.2021 20:00,10.04.2021 21:00,"2,698"
10.04.2021 21:00,10.04.2021 22:00,"1,313"
10.04.2021 22:00,10.04.2021 23:00,"1,303"
10.04.2021 23:00,11.04.2021 00:00,"1,427"
11.04.2021 00:00,11.04.2021 01:00,"1,786"
11.04.2021 01:00,11.04.2021 02:00,"1,299"
11.04.2021 02:00,11.04.2021 03:00,"1,328"
