Fra,Til,KWH 60 Forbruk
01.03.2021 00:00,01.03.2021 01:00,"0,892"
01.03.2021 01:00,01.03.2021 02:00,"0,488"
01.03.2021 02:00,01.03.2021 03:00,"0,49"
01.03.2021 03:00,01.03.2021 04:00,"1,026"
01.03.2021 04:00,01.03.2021 05:00,"0,478"
01.03.2021 05:00,01.03.2021 06:00,"0,487"
01.03.2021 06:00,01.03.2021 07:00,"0,484"
01.03.2021 07:00,01.03.2021 08:00,"1,299"
01.03.2021 08:00,01.03.2021 09:00,"3,085"
01.03.2021 09:00,01.03.2021 10:00,"3,452"
01.03.2021 10:00,01.03.2021 11:00,"2,455"
01.03.2021 11:00,01.03.2021 12:00,"2,58"
01.03.2021 12:00,01.03.2021 13:00,"3,402"
01.03.2021 13:00,01.03.2021 14:00,"2,609"
01.03.2021 14:00,01.03.2021 15:00,"2,562"
01.03.2021 15:00,01.03.2021 16:00,"2,932"
01.03.2021 16:00,01.03.2021 17:00,"3,522"
01.03.2021 17:00,01.03.2021 18:00,"3,183"
01.03.2021 18:00,01.03.2021 19:00,"3,251"
01.03.2021 19:00,01.03.2021 20:00,"2,315"
01.03.2021 20:00,01.03.2021 21:00,"1,506"
01.03.2021 21:00,01.03.2021 22:00,"2,057"
01.03.2021 22:00,01.03.2021 23:00,"2,519"
01.03.2021 23:00,02.03.2021 00:00,"0,511"
02.03.2021 00:00,02.03.2021 01:00,"0,483"
02.03.2021 01:00,02.03.2021 02:00,"0,877"
02.03.2021 02:00,02.03.2021 03:00,"0,655"
02.03.2021 03:00,02.03.2021 04:00,"0,496"
02.03.2021 04:00,02.03.2021 05:00,"0,495"
02.03.2021 05:00,02.03.2021 06:00,"1,777"
02.03.2021 06:00,02.03.2021 07:00,"2,694"
02.03.2021 07:00,02.03.2021 08:00,"3,132"
02.03.2021 08:00,02.03.2021 09:00,"2,032"
02.03.2021 09:00,02.03.2021 10:00,"1,975"
02.03.2021 10:00,02.03.2021 11:00,"3,029"
02.03.2021 11:00,02.03.2021 12:00,"1,857"
02.03.2021 12:00,02.03.2021 13:00,"1,934"
02.03.2021 13:00,02.03.2021 14:00,"2,116"
02.03.2021 14:00,02.03.2021 15:00,"1,517"
02.03.2021 15:00,02.03.2021 16:00,"1,982"
02.03.2021 16:00,02.03.2021 17:00,"2,797"
02.03.2021 17:00,02.03.2021 18:00,"2,272"
02.03.2021 18:00,02.03.2021 19:00,"1,954"
02.03.2021 19:00,02.03.2021 20:00,"1,774"
02.03.2021 20:00,02.03.2021 21:00,"1,279"
02.03.2021 21:00,02.03.2021 22:00,"1,346"
02.03.2021 22:00,02.03.2021 23:00,"1,785"
02.03.2021 23:00,03.03.2021 00:00,"0,432"
03.03.2021 00:00,03.03.2021 01:00,"0,436"
03.03.2021 01:00,03.03.2021 02:00,"0,429"
03.03.2021 02:00,03.03.2021 03:00,"0,892"
03.03.2021 03:00,03.03.2021 04:00,"0,433"
03.03.2021 04:00,03.03.2021 05:00,"0,435"
03.03.2021 05:00,03.03.2021 06:00,"1,655"
03.03.2021 06:00,03.03.2021 07:00,"2,257"
03.03.2021 07:00,03.03.2021 08:00,"3,946"
03.03.2021 08:00,03.03.2021 09:00,"3,705"
03.03.2021 09:00,03.03.2021 10:00,"2,392"
03.03.2021 10:00,03.03.2021 11:00,"2,193"
03.03.2021 11:00,03.03.2021 12:00,"1,96"
03.03.2021 12:00,03.03.2021 13:00,"1,74"
03.03.2021 13:00,03.03.2021 14:00,"2,149"
03.03.2021 14:00,03.03.2021 15:00,"1,651"
03.03.2021 15:00,03.03.2021 16:00,"2,158"
03.03.2021 16:00,03.03.2021 17:00,"1,559"
03.03.2021 17:00,03.03.2021 18:00,"2,479"
03.03.2021 18:00,03.03.2021 19:00,"3,243"
03.03.2021 19:00,03.03.2021 20:00,"3,037"
03.03.2021 20:00,03.03.2021 21:00,"3,493"
03.03.2021 21:00,03.03.2021 22:00,"3,288"
03.03.2021 22:00,03.03.2021 23:00,"2,312"
03.03.2021 23:00,04.03.2021 00:00,"0,909"
04.03.2021 00:00,04.03.2021 01:00,"0,428"
04.03.2021 01:00,04.03.2021 02:00,"0,439"
04.03.2021 02:00,04.03.2021 03:00,"0,965"
04.03.2021 03:00,04.03.2021 04:00,"0,417"
04.03.2021 04:00,04.03.2021 05:00,"0,44"
04.03.2021 05:00,04.03.2021 06:00,"1,819"
04.03.2021 06:00,04.03.2021 07:00,"2,332"
04.03.2021 07:00,04.03.2021 08:00,"2,7"
04.03.2021 08:00,04.03.2021 09:00,"2,471"
04.03.2021 09:00,04.03.2021 10:00,"2,04"
04.03.2021 10:00,04.03.2021 11:00,"2,303"
04.03.2021 11:00,04.03.2021 12:00,"2,125"
04.03.2021 12:00,04.03.2021 13:00,"2,941"
04.03.2021 13:00,04.03.2021 14:00,"2,005"
04.03.2021 14:00,04.03.2021 15:00,"2,43"
04.03.2021 15:00,04.03.2021 16:00,"1,862"
04.03.2021 16:00,04.03.2021 17:00,"1,721"
04.03.2021 17:00,04.03.2021 18:00,"3,318"
04.03.2021 18:00,04.03.2021 19:00,"2,358"
04.03.2021 19:00,04.03.2021 20:00,"2,234"
04.03.2021 20:00,04.03.2021 21:00,"1,877"
04.03.2021 21:00,04.03.2021 22:00,"1,649"
04.03.2021 22:00,04.03.2021 23:00,"2,158"
04.03.2021 23:00,05.03.2021 00:00,"0,446"
05.03.2021 00:00,05.03.2021 01:00,"0,729"
05.03.2021 01:00,05.03.2021 02:00,"0,625"
05.03.2021 02:00,05.03.2021 03:00,"0,426"
05.03.2021 03:00,05.03.2021 04:00,"0,418"
05.03.2021 04:00,05.03.2021 05:00,"0,433"
05.03.2021 05:00,05.03.2021 06:00,"2,408"
05.03.2021 06:00,05.03.2021 07:00,"3,041"
05.03.2021 07:00,05.03.2021 08:00,"4,876"
