Fra,Til,KWH 60 Forbruk
01.06.2021 00:00,01.06.2021 01:00,"0,74"
01.06.2021 01:00,01.06.2021 02:00,"1,281"
01.06.2021 02:00,01.06.2021 03:00,"0,743"
01.06.2021 03:00,01.06.2021 04:00,"0,735"
01.06.2021 04:00,01.06.2021 05:00,"0,74"
01.06.2021 05:00,01.06.2021 06:00,"0,761"
01.06.2021 06:00,01.06.2021 07:00,"1,286"
01.06.2021 07:00,01.06.2021 08:00,"0,784"
01.06.2021 08:00,01.06.2021 09:00,"1,044"
01.06.2021 09:00,01.06.2021 10:00,"2,119"
01.06.2021 10:00,01.06.2021 11:00,"0,786"
01.06.2021 11:00,01.06.2021 12:00,"0,983"
01.06.2021 12:00,01.06.2021 13:00,"1,845"
01.06.2021 13:00,01.06.2021 14:00,"1,063"
01.06.2021 14:00,01.06.2021 15:00,"1,447"
01.06.2021 15:00,01.06.2021 16:00,"1,209"
01.06.2021 16:00,01.06.2021 17:00,"1,045"
01.06.2021 17:00,01.06.2021 18:00,"1,483"
01.06.2021 18:00,01.06.2021 19:00,"1,334"
01.06.2021 19:00,01.06.2021 20:00,"0,995"
01.06.2021 20:00,01.06.2021 21:00,"1,394"
01.06.2021 21:00,01.06.2021 22:00,"1,79"
01.06.2021 22:00,01.06.2021 23:00,"0,787"
01.06.2021 23:00,02.06.2021 00:00,"0,747"
02.06.2021 00:00,02.06.2021 01:00,"1,234"
02.06.2021 01:00,02.06.2021 02:00,"0,737"
02.06.2021 02:00,02.06.2021 03:00,"0,735"
02.06.2021 03:00,02.06.2021 04:00,"0,726"
02.06.2021 04:00,02.06.2021 05:00,"1,273"
02.06.2021 05:00,02.06.2021 06:00,"0,779"
02.06.2021 06:00,02.06.2021 07:00,"0,816"
02.06.2021 07:00,02.06.2021 08:00,"1,199"
02.06.2021 08:00,02.06.2021 09:00,"0,479"
02.06.2021 09:00,02.06.2021 10:00,"2,211"
02.06.2021 10:00,02.06.2021 11:00,"2,267"
02.06.2021 11:00,02.06.2021 12:00,"0,842"
02.06.2021 12:00,02.06.2021 13:00,"0,808"
02.06.2021 13:00,02.06.2021 14:00,"0,826"
02.06.2021 14:00,02.06.2021 15:00,"1,411"
02.06.2021 15:00,02.06.2021 16:00,"0,844"
02.06.2021 16:00,02.06.2021 17:00,"0,831"
02.06.2021 17:00,02.06.2021 18:00,"0,972"
02.06.2021 18:00,02.06.2021 19:00,"1,208"
02.06.2021 19:00,02.06.2021 20:00,"0,813"
02.06.2021 20:00,02.06.2021 21:00,"0,8"
02.06.2021 21:00,02.06.2021 22:00,"0,797"
02.06.2021 22:00,02.06.2021 23:00,"0,772"
02.06.2021 23:00,03.06.2021 00:00,"1,423"
03.06.2021 00:00,03.06.2021 01:00,"0,759"
03.06.2021 01:00,03.06.2021 02:00,"0,823"
03.06.2021 02:00,03.06.2021 03:00,"1,204"
03.06.2021 03:00,03.06.2021 04:00,"0,739"
03.06.2021 04:00,03.06.2021 05:00,"0,736"
03.06.2021 05:00,03.06.2021 06:00,"0,805"
03.06.2021 06:00,03.06.2021 07:00,"1,074"
03.06.2021 07:00,03.06.2021 08:00,"0,537"
03.06.2021 08:00,03.06.2021 09:00,"0,895"
03.06.2021 09:00,03.06.2021 10:00,"1,738"
03.06.2021 10:00,03.06.2021 11:00,"1,096"
03.06.2021 11:00,03.06.2021 12:00,"1,674"
03.06.2021 12:00,03.06.2021 13:00,"1,568"
03.06.2021 13:00,03.06.2021 14:00,"1,083"
03.06.2021 14:00,03.06.2021 15:00,"1,047"
03.06.2021 15:00,03.06.2021 16:00,"1,593"
03.06.2021 16:00,03.06.2021 17:00,"1,114"
03.06.2021 17:00,03.06.2021 18:00,"1,321"
03.06.2021 18:00,03.06.2021 19:00,"1,38"
03.06.2021 19:00,03.06.2021 20:00,"1,712"
03.06.2021 20:00,03.06.2021 21:00,"2,611"
03.06.2021 21:00,03.06.2021 22:00,"1,454"
03.06.2021 22:00,03.06.2021 23:00,"0,991"
03.06.2021 23:00,04.06.2021 00:00,"1,22"
04.06.2021 00:00,04.06.2021 01:00,"0,732"
04.06.2021 01:00,04.06.2021 02:00,"0,728"
