Fra,Til,KWH 60 Forbruk
01.10.2021 00:00,01.10.2021 01:00,"0,287"
01.10.2021 01:00,01.10.2021 02:00,"0,28"
01.10.2021 02:00,01.10.2021 03:00,"0,251"
01.10.2021 03:00,01.10.2021 04:00,"0,623"
01.10.2021 04:00,01.10.2021 05:00,"0,951"
01.10.2021 05:00,01.10.2021 06:00,"1,309"
01.10.2021 06:00,01.10.2021 07:00,"1,254"
01.10.2021 07:00,01.10.2021 08:00,"2,078"
01.10.2021 08:00,01.10.2021 09:00,"4,321"
01.10.2021 09:00,01.10.2021 10:00,"2,569"
01.10.2021 10:00,01.10.2021 11:00,"1,629"
01.10.2021 11:00,01.10.2021 12:00,"1,496"
01.10.2021 12:00,01.10.2021 13:00,"1,45"
01.10.2021 13:00,01.10.2021 14:00,"1,854"
01.10.2021 14:00,01.10.2021 15:00,"1,345"
01.10.2021 15:00,01.10.2021 16:00,"1,305"
01.10.2021 16:00,01.10.2021 17:00,"1,671"
01.10.2021 17:00,01.10.2021 18:00,"3,931"
01.10.2021 18:00,01.10.2021 19:00,"1,942"
01.10.2021 19:00,01.10.2021 20:00,"1,291"
01.10.2021 20:00,01.10.2021 21:00,"3,142"
01.10.2021 21:00,01.10.2021 22:00,"2,136"
01.10.2021 22:00,01.10.2021 23:00,"1,834"
01.10.2021 23:00,02.10.2021 00:00,"1,523"
02.10.2021 00:00,02.10.2021 01:00,"1,348"
02.10.2021 01:00,02.10.2021 02:00,"0,781"
02.10.2021 02:00,02.10.2021 03:00,"0,793"
02.10.2021 03:00,02.10.2021 04:00,"0,804"
02.10.2021 04:00,02.10.2021 05:00,"1,713"
02.10.2021 05:00,02.10.2021 06:00,"1,4"
02.10.2021 06:00,02.10.2021 07:00,"1,34"
02.10.2021 07:00,02.10.2021 08:00,"1,31"
02.10.2021 08:00,02.10.2021 09:00,"1,57"
02.10.2021 09:00,02.10.2021 10:00,"1,541"
02.10.2021 10:00,02.10.2021 11:00,"2,006"
02.10.2021 11:00,02.10.2021 12:00,"2,466"
02.10.2021 12:00,02.10.2021 13:00,"0,187"
02.10.2021 13:00,02.10.2021 14:00,"0,153"
02.10.2021 14:00,02.10.2021 15:00,"0,166"
02.10.2021 15:00,02.10.2021 16:00,"0,595"
02.10.2021 16:00,02.10.2021 17:00,"0,126"
02.10.2021 17:00,02.10.2021 18:00,"0,124"
02.10.2021 18:00,02.10.2021 19:00,"0,103"
02.10.2021 19:00,02.10.2021 20:00,"0,603"
02.10.2021 20:00,02.10.2021 21:00,"0,076"
02.10.2021 21:00,02.10.2021 22:00,"0,072"
02.10.2021 22:00,02.10.2021 23:00,"0,077"
02.10.2021 23:00,03.10.2021 00:00,"0,076"
03.10.2021 00:00,03.10.2021 01:00,"0,075"
03.10.2021 01:00,03.10.2021 02:00,"0,492"
03.10.2021 02:00,03.10.2021 03:00,"0,072"
03.10.2021 03:00,03.10.2021 04:00,"0,076"
03.10.2021 04:00,03.10.2021 05:00,"1,107"
03.10.2021 05:00,03.10.2021 06:00,"1,601"
03.10.2021 06:00,03.10.2021 07:00,"1,923"
03.10.2021 07:00,03.10.2021 08:00,"1,396"
03.10.2021 08:00,03.10.2021 09:00,"1,342"
03.10.2021 09:00,03.10.2021 10:00,"1,301"
03.10.2021 10:00,03.10.2021 11:00,"1,256"
03.10.2021 11:00,03.10.2021 12:00,"1,225"
03.10.2021 12:00,03.10.2021 13:00,"1,728"
03.10.2021 13:00,03.10.2021 14:00,"1,158"
03.10.2021 14:00,03.10.2021 15:00,"1,115"
03.10.2021 15:00,03.10.2021 16:00,"0,517"
03.10.2021 16:00,03.10.2021 17:00,"0,119"
03.10.2021 17:00,03.10.2021 18:00,"0,118"
03.10.2021 18:00,03.10.2021 19:00,"0,087"
03.10.2021 19:00,03.10.2021 20:00,"0,576"
03.10.2021 20:00,03.10.2021 21:00,"0,074"
03.10.2021 21:00,03.10.2021 22:00,"0,071"
03.10.2021 22:00,03.10.2021 23:00,"0,076"
03.10.2021 23:00,04.10.2021 00:00,"0,072"
04.10.2021 00:00,04.10.2021 01:00,"0,07"
04.10.2021 01:00,04.10.2021 02:00,"0,075"
04.10.2021 02:00,04.10.2021 03:00,"0,59"
04.10.2021 03:00,04.10.2021 04:00,"0,072"
04.10.2021 04:00,04.10.2021 05:00,"1,128"
04.10.2021 05:00,04.10.2021 06:00,"1,699"
04.10.2021 06:00,04.10.2021 07:00,"1,565"
04.10.2021 07:00,04.10.2021 08:00,"1,448"
04.10.2021 08:00,04.10.2021 09:00,"1,891"
04.10.2021 09:00,04.10.2021 10:00,"1,153"
04.10.2021 10:00,04.10.2021 11:00,"0,138"
04.10.2021 11:00,04.10.2021 12:00,"0,136"
04.10.2021 12:00,04.10.2021 13:00,"0,126"
04.10.2021 13:00,04.10.2021 14:00,"0,121"
04.10.2021 14:00,04.10.2021 15:00,"0,116"
04.10.2021 15:00,04.10.2021 16:00,"0,619"
