Fra,Til,KWH 60 Forbruk
01.07.2021 00:00,01.07.2021 01:00,"1,263"
01.07.2021 01:00,01.07.2021 02:00,"0,717"
01.07.2021 02:00,01.07.2021 03:00,"0,708"
01.07.2021 03:00,01.07.2021 04:00,"0,718"
01.07.2021 04:00,01.07.2021 05:00,"1,225"
01.07.2021 05:00,01.07.2021 06:00,"0,77"
01.07.2021 06:00,01.07.2021 07:00,"0,808"
01.07.2021 07:00,01.07.2021 08:00,"0,92"
01.07.2021 08:00,01.07.2021 09:00,"1,467"
01.07.2021 09:00,01.07.2021 10:00,"1,046"
01.07.2021 10:00,01.07.2021 11:00,"1,017"
01.07.2021 11:00,01.07.2021 12:00,"1,361"
01.07.2021 12:00,01.07.2021 13:00,"1,108"
01.07.2021 13:00,01.07.2021 14:00,"3,848"
01.07.2021 14:00,01.07.2021 15:00,"1,405"
01.07.2021 15:00,01.07.2021 16:00,"1,123"
01.07.2021 16:00,01.07.2021 17:00,"1,966"
01.07.2021 17:00,01.07.2021 18:00,"1,251"
01.07.2021 18:00,01.07.2021 19:00,"1,674"
01.07.2021 19:00,01.07.2021 20:00,"2,827"
01.07.2021 20:00,01.07.2021 21:00,"1,034"
01.07.2021 21:00,01.07.2021 22:00,"1,57"
01.07.2021 22:00,01.07.2021 23:00,"0,834"
01.07.2021 23:00,02.07.2021 00:00,"0,744"
02.07.2021 00:00,02.07.2021 01:00,"1,253"
02.07.2021 01:00,02.07.2021 02:00,"0,729"
02.07.2021 02:00,02.07.2021 03:00,"0,714"
02.07.2021 03:00,02.07.2021 04:00,"1,192"
02.07.2021 04:00,02.07.2021 05:00,"0,74"
02.07.2021 05:00,02.07.2021 06:00,"0,783"
02.07.2021 06:00,02.07.2021 07:00,"0,783"
02.07.2021 07:00,02.07.2021 08:00,"0,781"
02.07.2021 08:00,02.07.2021 09:00,"1,347"
02.07.2021 09:00,02.07.2021 10:00,"1,757"
02.07.2021 10:00,02.07.2021 11:00,"3,509"
02.07.2021 11:00,02.07.2021 12:00,"1,07"
02.07.2021 12:00,02.07.2021 13:00,"1,317"
02.07.2021 13:00,02.07.2021 14:00,"0,863"
02.07.2021 14:00,02.07.2021 15:00,"0,818"
02.07.2021 15:00,02.07.2021 16:00,"1,379"
02.07.2021 16:00,02.07.2021 17:00,"1,27"
02.07.2021 17:00,02.07.2021 18:00,"1,553"
02.07.2021 18:00,02.07.2021 19:00,"2,814"
02.07.2021 19:00,02.07.2021 20:00,"0,907"
02.07.2021 20:00,02.07.2021 21:00,"0,826"
02.07.2021 21:00,02.07.2021 22:00,"0,8"
02.07.2021 22:00,02.07.2021 23:00,"1,386"
02.07.2021 23:00,03.07.2021 00:00,"0,881"
03.07.2021 00:00,03.07.2021 01:00,"0,779"
03.07.2021 01:00,03.07.2021 02:00,"0,625"
03.07.2021 02:00,03.07.2021 03:00,"1,132"
03.07.2021 03:00,03.07.2021 04:00,"0,6"
03.07.2021 04:00,03.07.2021 05:00,"0,633"
03.07.2021 05:00,03.07.2021 06:00,"0,665"
03.07.2021 06:00,03.07.2021 07:00,"0,708"
03.07.2021 07:00,03.07.2021 08:00,"1,191"
03.07.2021 08:00,03.07.2021 09:00,"0,673"
03.07.2021 09:00,03.07.2021 10:00,"0,725"
03.07.2021 10:00,03.07.2021 11:00,"0,731"
03.07.2021 11:00,03.07.2021 12:00,"1,312"
03.07.2021 12:00,03.07.2021 13:00,"0,846"
03.07.2021 13:00,03.07.2021 14:00,"0,734"
03.07.2021 14:00,03.07.2021 15:00,"0,738"
03.07.2021 15:00,03.07.2021 16:00,"0,697"
03.07.2021 16:00,03.07.2021 17:00,"2,349"
03.07.2021 17:00,03.07.2021 18:00,"2,063"
03.07.2021 18:00,03.07.2021 19:00,"2,191"
03.07.2021 19:00,03.07.2021 20:00,"0,782"
03.07.2021 20:00,03.07.2021 21:00,"1,279"
03.07.2021 21:00,03.07.2021 22:00,"0,796"
03.07.2021 22:00,03.07.2021 23:00,"0,768"
03.07.2021 23:00,04.07.2021 00:00,"1,073"
04.07.2021 00:00,04.07.2021 01:00,"0,85"
04.07.2021 01:00,04.07.2021 02:00,"0,634"
04.07.2021 02:00,04.07.2021 03:00,"0,628"
04.07.2021 03:00,04.07.2021 04:00,"0,691"
04.07.2021 04:00,04.07.2021 05:00,"1,029"
04.07.2021 05:00,04.07.2021 06:00,"0,658"
04.07.2021 06:00,04.07.2021 07:00,"0,671"
04.07.2021 07:00,04.07.2021 08:00,"0,671"
04.07.2021 08:00,04.07.2021 09:00,"0,916"
04.07.2021 09:00,04.07.2021 10:00,"1,249"
04.07.2021 10:00,04.07.2021 11:00,"0,865"
04.07.2021 11:00,04.07.2021 12:00,"1,876"
04.07.2021 12:00,04.07.2021 13:00,"1,939"
04.07.2021 13:00,04.07.2021 14:00,"1,566"
04.07.2021 14:00,04.07.2021 15:00,"2,706"
04.07.2021 15:00,04.07.2021 16:00,"1,179"
04.07.2021 16:00,04.07.2021 17:00,"1,071"
04.07.2021 17:00,04.07.2021 18:00,"1,489"
04.07.2021 18:00,04.07.2021 19:00,"3,054"
04.07.2021 19:00,04.07.2021 20:00,"1,855"
04.07.2021 20:00,04.07.2021 21:00,"1,847"
04.07.2021 21:00,04.07.2021 22:00,"0,941"
04.07.2021 22:00,04.07.2021 23:00,"1,142"
04.07.2021 23:00,05.07.2021 00:00,"0,871"
05.07.2021 00:00,05.07.2021 01:00,"0,646"
05.07.2021 01:00,05.07.2021 02:00,"0,651"
05.07.2021 02:00,05.07.2021 03:00,"1,126"
05.07.2021 03:00,05.07.2021 04:00,"0,648"
05.07.2021 04:00,05.07.2021 05:00,"0,644"
05.07.2021 05:00,05.07.2021 06:00,"0,645"
05.07.2021 06:00,05.07.2021 07:00,"0,639"
