Fra,Til,KWH 60 Forbruk
01.04.2020 00:00,01.04.2020 01:00,"1,089"
01.04.2020 01:00,01.04.2020 02:00,"1,694"
01.04.2020 02:00,01.04.2020 03:00,"1,145"
01.04.2020 03:00,01.04.2020 04:00,"1,159"
01.04.2020 04:00,01.04.2020 05:00,"1,143"
01.04.2020 05:00,01.04.2020 06:00,"1,146"
01.04.2020 06:00,01.04.2020 07:00,"1,738"
01.04.2020 07:00,01.04.2020 08:00,"1,289"
01.04.2020 08:00,01.04.2020 09:00,"1,312"
01.04.2020 09:00,01.04.2020 10:00,"1,842"
01.04.2020 10:00,01.04.2020 11:00,"1,367"
01.04.2020 11:00,01.04.2020 12:00,"1,552"
01.04.2020 12:00,01.04.2020 13:00,"3,99"
01.04.2020 13:00,01.04.2020 14:00,"3,168"
01.04.2020 14:00,01.04.2020 15:00,"1,36"
01.04.2020 15:00,01.04.2020 16:00,"1,269"
01.04.2020 16:00,01.04.2020 17:00,"1,684"
01.04.2020 17:00,01.04.2020 18:00,"2,93"
01.04.2020 18:00,01.04.2020 19:00,"2,823"
01.04.2020 19:00,01.04.2020 20:00,"3,003"
01.04.2020 20:00,01.04.2020 21:00,"1,771"
01.04.2020 21:00,01.04.2020 22:00,"1,489"
01.04.2020 22:00,01.04.2020 23:00,"1,908"
01.04.2020 23:00,02.04.2020 00:00,"1,366"
02.04.2020 00:00,02.04.2020 01:00,"1,34"
02.04.2020 01:00,02.04.2020 02:00,"1,8"
02.04.2020 02:00,02.04.2020 03:00,"1,311"
02.04.2020 03:00,02.04.2020 04:00,"1,229"
02.04.2020 04:00,02.04.2020 05:00,"1,366"
02.04.2020 05:00,02.04.2020 06:00,"1,862"
02.04.2020 06:00,02.04.2020 07:00,"1,356"
02.04.2020 07:00,02.04.2020 08:00,"1,254"
02.04.2020 08:00,02.04.2020 09:00,"1,729"
02.04.2020 09:00,02.04.2020 10:00,"2,292"
02.04.2020 10:00,02.04.2020 11:00,"1,388"
02.04.2020 11:00,02.04.2020 12:00,"1,5"
02.04.2020 12:00,02.04.2020 13:00,"1,911"
02.04.2020 13:00,02.04.2020 14:00,"2,432"
02.04.2020 14:00,02.04.2020 15:00,"2,017"
02.04.2020 15:00,02.04.2020 16:00,"3,418"
02.04.2020 16:00,02.04.2020 17:00,"2,176"
02.04.2020 17:00,02.04.2020 18:00,"2,627"
02.04.2020 18:00,02.04.2020 19:00,"2,357"
02.04.2020 19:00,02.04.2020 20:00,"2,619"
02.04.2020 20:00,02.04.2020 21:00,"1,538"
02.04.2020 21:00,02.04.2020 22:00,"1,933"
02.04.2020 22:00,02.04.2020 23:00,"1,763"
02.04.2020 23:00,03.04.2020 00:00,"1,849"
03.04.2020 00:00,03.04.2020 01:00,"1,471"
03.04.2020 01:00,03.04.2020 02:00,"1,471"
03.04.2020 02:00,03.04.2020 03:00,"1,57"
03.04.2020 03:00,03.04.2020 04:00,"1,841"
03.04.2020 04:00,03.04.2020 05:00,"1,389"
03.04.2020 05:00,03.04.2020 06:00,"1,522"
03.04.2020 06:00,03.04.2020 07:00,"1,545"
03.04.2020 07:00,03.04.2020 08:00,"1,967"
03.04.2020 08:00,03.04.2020 09:00,"2,368"
03.04.2020 09:00,03.04.2020 10:00,"2,838"
03.04.2020 10:00,03.04.2020 11:00,"2,088"
03.04.2020 11:00,03.04.2020 12:00,"3,722"
03.04.2020 12:00,03.04.2020 13:00,"3,545"
03.04.2020 13:00,03.04.2020 14:00,"2,22"
03.04.2020 14:00,03.04.2020 15:00,"1,8"
03.04.2020 15:00,03.04.2020 16:00,"2,668"
03.04.2020 16:00,03.04.2020 17:00,"1,69"
03.04.2020 17:00,03.04.2020 18:00,"1,668"
03.04.2020 18:00,03.04.2020 19:00,"3,158"
03.04.2020 19:00,03.04.2020 20:00,"1,75"
03.04.2020 20:00,03.04.2020 21:00,"1,875"
03.04.2020 21:00,03.04.2020 22:00,"2,042"
03.04.2020 22:00,03.04.2020 23:00,"2,692"
03.04.2020 23:00,04.04.2020 00:00,"1,798"
04.04.2020 00:00,04.04.2020 01:00,"1,404"
04.04.2020 01:00,04.04.2020 02:00,"1,583"
04.04.2020 02:00,04.04.2020 03:00,"3,063"
04.04.2020 03:00,04.04.2020 04:00,"1,579"
04.04.2020 04:00,04.04.2020 05:00,"1,589"
04.04.2020 05:00,04.04.2020 06:00,"1,564"
04.04.2020 06:00,04.04.2020 07:00,"2,049"
04.04.2020 07:00,04.04.2020 08:00,"1,596"
04.04.2020 08:00,04.04.2020 09:00,"1,704"
04.04.2020 09:00,04.04.2020 10:00,"1,59"
04.04.2020 10:00,04.04.2020 11:00,"1,925"
04.04.2020 11:00,04.04.2020 12:00,"2,984"
04.04.2020 12:00,04.04.2020 13:00,"2,721"
04.04.2020 13:00,04.04.2020 14:00,"2,336"
04.04.2020 14:00,04.04.2020 15:00,"2,473"
04.04.2020 15:00,04.04.2020 16:00,"2,102"
04.04.2020 16:00,04.04.2020 17:00,"1,989"
04.04.2020 17:00,04.04.2020 18:00,"1,856"
04.04.2020 18:00,04.04.2020 19:00,"3,097"
04.04.2020 19:00,04.04.2020 20:00,"1,394"
