Fra,Til,KWH 60 Forbruk
01.02.2021 00:00,01.02.2021 01:00,"2,627"
01.02.2021 01:00,01.02.2021 02:00,"3,179"
01.02.2021 02:00,01.02.2021 03:00,"2,66"
01.02.2021 03:00,01.02.2021 04:00,"2,675"
01.02.2021 04:00,01.02.2021 05:00,"2,637"
01.02.2021 05:00,01.02.2021 06:00,"3,287"
01.02.2021 06:00,01.02.2021 07:00,"3,605"
01.02.2021 07:00,01.02.2021 08:00,"3,333"
01.02.2021 08:00,01.02.2021 09:00,"4,258"
01.02.2021 09:00,01.02.2021 10:00,"3,713"
01.02.2021 10:00,01.02.2021 11:00,"3,707"
01.02.2021 11:00,01.02.2021 12:00,"4,113"
01.02.2021 12:00,01.02.2021 13:00,"4,1"
01.02.2021 13:00,01.02.2021 14:00,"4,399"
01.02.2021 14:00,01.02.2021 15:00,"4,032"
01.02.2021 15:00,01.02.2021 16:00,"3,737"
01.02.2021 16:00,01.02.2021 17:00,"3,682"
01.02.2021 17:00,01.02.2021 18:00,"4,291"
01.02.2021 18:00,01.02.2021 19:00,"3,549"
01.02.2021 19:00,01.02.2021 20:00,"3,826"
01.02.2021 20:00,01.02.2021 21:00,"3,878"
01.02.2021 21:00,01.02.2021 22:00,"4,977"
01.02.2021 22:00,01.02.2021 23:00,"3,728"
01.02.2021 23:00,02.02.2021 00:00,"3,371"
02.02.2021 00:00,02.02.2021 01:00,"3,021"
02.02.2021 01:00,02.02.2021 02:00,"2,686"
02.02.2021 02:00,02.02.2021 03:00,"2,714"
02.02.2021 03:00,02.02.2021 04:00,"3,083"
02.02.2021 04:00,02.02.2021 05:00,"2,802"
02.02.2021 05:00,02.02.2021 06:00,"3,056"
02.02.2021 06:00,02.02.2021 07:00,"3,362"
02.02.2021 07:00,02.02.2021 08:00,"3,345"
02.02.2021 08:00,02.02.2021 09:00,"3,947"
02.02.2021 09:00,02.02.2021 10:00,"3,711"
02.02.2021 10:00,02.02.2021 11:00,"3,602"
02.02.2021 11:00,02.02.2021 12:00,"4,43"
02.02.2021 12:00,02.02.2021 13:00,"5,381"
02.02.2021 13:00,02.02.2021 14:00,"5,3"
02.02.2021 14:00,02.02.2021 15:00,"4,105"
02.02.2021 15:00,02.02.2021 16:00,"4,14"
02.02.2021 16:00,02.02.2021 17:00,"3,619"
02.02.2021 17:00,02.02.2021 18:00,"4,995"
02.02.2021 18:00,02.02.2021 19:00,"4,09"
02.02.2021 19:00,02.02.2021 20:00,"3,509"
02.02.2021 20:00,02.02.2021 21:00,"3,912"
02.02.2021 21:00,02.02.2021 22:00,"4,107"
02.02.2021 22:00,02.02.2021 23:00,"3,308"
02.02.2021 23:00,03.02.2021 00:00,"2,623"
03.02.2021 00:00,03.02.2021 01:00,"3,175"
03.02.2021 01:00,03.02.2021 02:00,"2,679"
03.02.2021 02:00,03.02.2021 03:00,"2,7"
03.02.2021 03:00,03.02.2021 04:00,"2,698"
03.02.2021 04:00,03.02.2021 05:00,"3,23"
03.02.2021 05:00,03.02.2021 06:00,"3,031"
03.02.2021 06:00,03.02.2021 07:00,"3,346"
03.02.2021 07:00,03.02.2021 08:00,"3,786"
03.02.2021 08:00,03.02.2021 09:00,"3,804"
03.02.2021 09:00,03.02.2021 10:00,"3,823"
03.02.2021 10:00,03.02.2021 11:00,"3,727"
03.02.2021 11:00,03.02.2021 12:00,"3,522"
03.02.2021 12:00,03.02.2021 13:00,"4,214"
03.02.2021 13:00,03.02.2021 14:00,"3,313"
03.02.2021 14:00,03.02.2021 15:00,"3,75"
03.02.2021 15:00,03.02.2021 16:00,"3,373"
03.02.2021 16:00,03.02.2021 17:00,"3,672"
03.02.2021 17:00,03.02.2021 18:00,"3,496"
03.02.2021 18:00,03.02.2021 19:00,"3,203"
03.02.2021 19:00,03.02.2021 20:00,"3,736"
03.02.2021 20:00,03.02.2021 21:00,"3,248"
03.02.2021 21:00,03.02.2021 22:00,"4,598"
03.02.2021 22:00,03.02.2021 23:00,"4,122"
03.02.2021 23:00,04.02.2021 00:00,"1,402"
04.02.2021 00:00,04.02.2021 01:00,"1,129"
04.02.2021 01:00,04.02.2021 02:00,"1,136"
04.02.2021 02:00,04.02.2021 03:00,"1,652"
04.02.2021 03:00,04.02.2021 04:00,"1,146"
04.02.2021 04:00,04.02.2021 05:00,"1,145"
04.02.2021 05:00,04.02.2021 06:00,"2,737"
04.02.2021 06:00,04.02.2021 07:00,"4,746"
04.02.2021 07:00,04.02.2021 08:00,"4,237"
04.02.2021 08:00,04.02.2021 09:00,"4,779"
04.02.2021 09:00,04.02.2021 10:00,"4,101"
04.02.2021 10:00,04.02.2021 11:00,"4,285"
04.02.2021 11:00,04.02.2021 12:00,"5,099"
04.02.2021 12:00,04.02.2021 13:00,"4,245"
04.02.2021 13:00,04.02.2021 14:00,"4,151"
04.02.2021 14:00,04.02.2021 15:00,"4,656"
04.02.2021 15:00,04.02.2021 16:00,"4,179"
04.02.2021 16:00,04.02.2021 17:00,"4,183"
04.02.2021 17:00,04.02.2021 18:00,"3,751"
04.02.2021 18:00,04.02.2021 19:00,"3,571"
04.02.2021 19:00,04.02.2021 20:00,"3,633"
04.02.2021 20:00,04.02.2021 21:00,"3,652"
04.02.2021 21:00,04.02.2021 22:00,"4,157"
04.02.2021 22:00,04.02.2021 23:00,"4,843"
04.02.2021 23:00,05.02.2021 00:00,"3,574"
05.02.2021 00:00,05.02.2021 01:00,"2,956"
05.02.2021 01:00,05.02.2021 02:00,"1,169"
05.02.2021 02:00,05.02.2021 03:00,"1,168"
05.02.2021 03:00,05.02.2021 04:00,"1,149"
05.02.2021 04:00,05.02.2021 05:00,"1,693"
05.02.2021 05:00,05.02.2021 06:00,"2,745"
05.02.2021 06:00,05.02.2021 07:00,"4,722"
05.02.2021 07:00,05.02.2021 08:00,"5,284"
05.02.2021 08:00,05.02.2021 09:00,"6,148"
05.02.2021 09:00,05.02.2021 10:00,"7,138"
05.02.2021 10:00,05.02.2021 11:00,"5,073"
05.02.2021 11:00,05.02.2021 12:00,"4,837"
05.02.2021 12:00,05.02.2021 13:00,"4,086"
05.02.2021 13:00,05.02.2021 14:00,"4,207"
05.02.2021 14:00,05.02.2021 15:00,"4,654"
05.02.2021 15:00,05.02.2021 16:00,"3,551"
05.02.2021 16:00,05.02.2021 17:00,"4,223"
05.02.2021 17:00,05.02.2021 18:00,"3,704"
05.02.2021 18:00,05.02.2021 19:00,"5,58"
05.02.2021 19:00,05.02.2021 20:00,"4,958"
05.02.2021 20:00,05.02.2021 21:00,"4,139"
05.02.2021 21:00,05.02.2021 22:00,"3,636"
05.02.2021 22:00,05.02.2021 23:00,"4,326"
05.02.2021 23:00,06.02.2021 00:00,"1,554"
06.02.2021 00:00,06.02.2021 01:00,"3,698"
06.02.2021 01:00,06.02.2021 02:00,"4,048"
06.02.2021 02:00,06.02.2021 03:00,"3,554"
06.02.2021 03:00,06.02.2021 04:00,"3,523"
06.02.2021 04:00,06.02.2021 05:00,"3,482"
06.02.2021 05:00,06.02.2021 06:00,"3,947"
06.02.2021 06:00,06.02.2021 07:00,"3,503"
06.02.2021 07:00,06.02.2021 08:00,"3,563"
