Fra,Til,KWH 60 Forbruk
01.01.2020 00:00,01.01.2020 01:00,"1,779"
01.01.2020 01:00,01.01.2020 02:00,"1,625"
01.01.2020 02:00,01.01.2020 03:00,"1,714"
01.01.2020 03:00,01.01.2020 04:00,"2,196"
01.01.2020 04:00,01.01.2020 05:00,"1,764"
01.01.2020 05:00,01.01.2020 06:00,"1,638"
01.01.2020 06:00,01.01.2020 07:00,"1,624"
01.01.2020 07:00,01.01.2020 08:00,"1,739"
01.01.2020 08:00,01.01.2020 09:00,"1,791"
01.01.2020 09:00,01.01.2020 10:00,"2,176"
01.01.2020 10:00,01.01.2020 11:00,"1,689"
01.01.2020 11:00,01.01.2020 12:00,"1,75"
01.01.2020 12:00,01.01.2020 13:00,"1,719"
01.01.2020 13:00,01.01.2020 14:00,"1,62"
01.01.2020 14:00,01.01.2020 15:00,"1,715"
01.01.2020 15:00,01.01.2020 16:00,"1,822"
01.01.2020 16:00,01.01.2020 17:00,"2,126"
01.01.2020 17:00,01.01.2020 18:00,"1,566"
01.01.2020 18:00,01.01.2020 19:00,"1,627"
01.01.2020 19:00,01.01.2020 20:00,"1,708"
01.01.2020 20:00,01.01.2020 21:00,"1,739"
01.01.2020 21:00,01.01.2020 22:00,"3,584"
01.01.2020 22:00,01.01.2020 23:00,"2,315"
01.01.2020 23:00,02.01.2020 00:00,"1,667"
02.01.2020 00:00,02.01.2020 01:00,"1,739"
02.01.2020 01:00,02.01.2020 02:00,"3,291"
02.01.2020 02:00,02.01.2020 03:00,"3,2"
02.01.2020 03:00,02.01.2020 04:00,"2,293"
02.01.2020 04:00,02.01.2020 05:00,"1,463"
02.01.2020 05:00,02.01.2020 06:00,"1,354"
02.01.2020 06:00,02.01.2020 07:00,"1,328"
02.01.2020 07:00,02.01.2020 08:00,"2,258"
02.01.2020 08:00,02.01.2020 09:00,"2,147"
02.01.2020 09:00,02.01.2020 10:00,"1,508"
02.01.2020 10:00,02.01.2020 11:00,"1,975"
02.01.2020 11:00,02.01.2020 12:00,"1,87"
02.01.2020 12:00,02.01.2020 13:00,"4,196"
02.01.2020 13:00,02.01.2020 14:00,"3,943"
02.01.2020 14:00,02.01.2020 15:00,"1,496"
02.01.2020 15:00,02.01.2020 16:00,"1,489"
02.01.2020 16:00,02.01.2020 17:00,"1,939"
02.01.2020 17:00,02.01.2020 18:00,"3,325"
02.01.2020 18:00,02.01.2020 19:00,"2,642"
02.01.2020 19:00,02.01.2020 20:00,"3,33"
02.01.2020 20:00,02.01.2020 21:00,"2,607"
02.01.2020 21:00,02.01.2020 22:00,"2,987"
02.01.2020 22:00,02.01.2020 23:00,"2,369"
02.01.2020 23:00,03.01.2020 00:00,"1,692"
03.01.2020 00:00,03.01.2020 01:00,"1,706"
03.01.2020 01:00,03.01.2020 02:00,"2,162"
03.01.2020 02:00,03.01.2020 03:00,"1,724"
03.01.2020 03:00,03.01.2020 04:00,"1,605"
03.01.2020 04:00,03.01.2020 05:00,"1,746"
03.01.2020 05:00,03.01.2020 06:00,"2,148"
03.01.2020 06:00,03.01.2020 07:00,"1,68"
03.01.2020 07:00,03.01.2020 08:00,"1,983"
03.01.2020 08:00,03.01.2020 09:00,"1,905"
03.01.2020 09:00,03.01.2020 10:00,"2,239"
03.01.2020 10:00,03.01.2020 11:00,"1,887"
03.01.2020 11:00,03.01.2020 12:00,"2,089"
03.01.2020 12:00,03.01.2020 13:00,"1,909"
03.01.2020 13:00,03.01.2020 14:00,"1,979"
03.01.2020 14:00,03.01.2020 15:00,"2,348"
03.01.2020 15:00,03.01.2020 16:00,"1,993"
03.01.2020 16:00,03.01.2020 17:00,"1,938"
03.01.2020 17:00,03.01.2020 18:00,"2,309"
03.01.2020 18:00,03.01.2020 19:00,"2,416"
03.01.2020 19:00,03.01.2020 20:00,"1,923"
03.01.2020 20:00,03.01.2020 21:00,"3,029"
03.01.2020 21:00,03.01.2020 22:00,"2,036"
03.01.2020 22:00,03.01.2020 23:00,"1,559"
03.01.2020 23:00,04.01.2020 00:00,"1,671"
04.01.2020 00:00,04.01.2020 01:00,"1,854"
04.01.2020 01:00,04.01.2020 02:00,"1,03"
04.01.2020 02:00,04.01.2020 03:00,"0,882"
04.01.2020 03:00,04.01.2020 04:00,"1,442"
04.01.2020 04:00,04.01.2020 05:00,"0,98"
04.01.2020 05:00,04.01.2020 06:00,"1,063"
04.01.2020 06:00,04.01.2020 07:00,"0,958"
04.01.2020 07:00,04.01.2020 08:00,"1,247"
04.01.2020 08:00,04.01.2020 09:00,"1,401"
04.01.2020 09:00,04.01.2020 10:00,"1,116"
04.01.2020 10:00,04.01.2020 11:00,"2,614"
04.01.2020 11:00,04.01.2020 12:00,"2,8"
04.01.2020 12:00,04.01.2020 13:00,"3,505"
04.01.2020 13:00,04.01.2020 14:00,"1,501"
04.01.2020 14:00,04.01.2020 15:00,"4,353"
04.01.2020 15:00,04.01.2020 16:00,"3,766"
04.01.2020 16:00,04.01.2020 17:00,"4,94"
04.01.2020 17:00,04.01.2020 18:00,"4,08"
04.01.2020 18:00,04.01.2020 19:00,"4,646"
04.01.2020 19:00,04.01.2020 20:00,"3,9"
04.01.2020 20:00,04.01.2020 21:00,"2,874"
04.01.2020 21:00,04.01.2020 22:00,"1,726"
04.01.2020 22:00,04.01.2020 23:00,"1,552"
04.01.2020 23:00,05.01.2020 00:00,"2,24"
05.01.2020 00:00,05.01.2020 01:00,"1,632"
05.01.2020 01:00,05.01.2020 02:00,"1,989"
05.01.2020 02:00,05.01.2020 03:00,"2,473"
05.01.2020 03:00,05.01.2020 04:00,"1,661"
05.01.2020 04:00,05.01.2020 05:00,"2,074"
05.01.2020 05:00,05.01.2020 06:00,"1,642"
05.01.2020 06:00,05.01.2020 07:00,"2,064"
05.01.2020 07:00,05.01.2020 08:00,"1,485"
05.01.2020 08:00,05.01.2020 09:00,"1,62"
05.01.2020 09:00,05.01.2020 10:00,"1,471"
05.01.2020 10:00,05.01.2020 11:00,"2,499"
05.01.2020 11:00,05.01.2020 12:00,"4,73"
05.01.2020 12:00,05.01.2020 13:00,"3,331"
05.01.2020 13:00,05.01.2020 14:00,"2,482"
05.01.2020 14:00,05.01.2020 15:00,"2,89"
05.01.2020 15:00,05.01.2020 16:00,"3,239"
05.01.2020 16:00,05.01.2020 17:00,"2,575"
05.01.2020 17:00,05.01.2020 18:00,"2,274"
05.01.2020 18:00,05.01.2020 19:00,"2,425"
