Fra,Til,KWH 60 Forbruk
01.12.2021 00:00,01.12.2021 01:00,"1,96"
01.12.2021 01:00,01.12.2021 02:00,"2,137"
01.12.2021 02:00,01.12.2021 03:00,"2,487"
01.12.2021 03:00,01.12.2021 04:00,"2,053"
01.12.2021 04:00,01.12.2021 05:00,"2,428"
01.12.2021 05:00,01.12.2021 06:00,"2,757"
01.12.2021 06:00,01.12.2021 07:00,"3,371"
01.12.2021 07:00,01.12.2021 08:00,"4,096"
01.12.2021 08:00,01.12.2021 09:00,"3,967"
01.12.2021 09:00,01.12.2021 10:00,"2,2"
01.12.2021 10:00,01.12.2021 11:00,"2,191"
01.12.2021 11:00,01.12.2021 12:00,"2,741"
01.12.2021 12:00,01.12.2021 13:00,"2,256"
01.12.2021 13:00,01.12.2021 14:00,"2,188"
01.12.2021 14:00,01.12.2021 15:00,"2,195"
01.12.2021 15:00,01.12.2021 16:00,"3,883"
01.12.2021 16:00,01.12.2021 17:00,"4,224"
01.12.2021 17:00,01.12.2021 18:00,"3,701"
01.12.2021 18:00,01.12.2021 19:00,"4,259"
01.12.2021 19:00,01.12.2021 20:00,"4,495"
01.12.2021 20:00,01.12.2021 21:00,"4,781"
01.12.2021 21:00,01.12.2021 22:00,"3,898"
01.12.2021 22:00,01.12.2021 23:00,"1,972"
01.12.2021 23:00,02.12.2021 00:00,"1,97"
02.12.2021 00:00,02.12.2021 01:00,"1,808"
02.12.2021 01:00,02.12.2021 02:00,"1,856"
02.12.2021 02:00,02.12.2021 03:00,"2,378"
02.12.2021 03:00,02.12.2021 04:00,"1,972"
02.12.2021 04:00,02.12.2021 05:00,"2,028"
02.12.2021 05:00,02.12.2021 06:00,"2,032"
02.12.2021 06:00,02.12.2021 07:00,"2,05"
02.12.2021 07:00,02.12.2021 08:00,"3,333"
02.12.2021 08:00,02.12.2021 09:00,"2,267"
02.12.2021 09:00,02.12.2021 10:00,"2,294"
02.12.2021 10:00,02.12.2021 11:00,"2,825"
02.12.2021 11:00,02.12.2021 12:00,"2,42"
02.12.2021 12:00,02.12.2021 13:00,"2,827"
02.12.2021 13:00,02.12.2021 14:00,"2,42"
02.12.2021 14:00,02.12.2021 15:00,"2,944"
02.12.2021 15:00,02.12.2021 16:00,"2,439"
02.12.2021 16:00,02.12.2021 17:00,"2,593"
02.12.2021 17:00,02.12.2021 18:00,"3,513"
02.12.2021 18:00,02.12.2021 19:00,"4,808"
02.12.2021 19:00,02.12.2021 20:00,"3,866"
02.12.2021 20:00,02.12.2021 21:00,"4,179"
02.12.2021 21:00,02.12.2021 22:00,"3,639"
02.12.2021 22:00,02.12.2021 23:00,"3,499"
02.12.2021 23:00,03.12.2021 00:00,"4,903"
03.12.2021 00:00,03.12.2021 01:00,"5,237"
03.12.2021 01:00,03.12.2021 02:00,"5,279"
03.12.2021 02:00,03.12.2021 03:00,"3,913"
03.12.2021 03:00,03.12.2021 04:00,"3,509"
03.12.2021 04:00,03.12.2021 05:00,"3,454"
03.12.2021 05:00,03.12.2021 06:00,"3,919"
03.12.2021 06:00,03.12.2021 07:00,"3,396"
03.12.2021 07:00,03.12.2021 08:00,"2,87"
03.12.2021 08:00,03.12.2021 09:00,"3,569"
03.12.2021 09:00,03.12.2021 10:00,"2,752"
03.12.2021 10:00,03.12.2021 11:00,"2,759"
03.12.2021 11:00,03.12.2021 12:00,"3,557"
03.12.2021 12:00,03.12.2021 13:00,"2,687"
03.12.2021 13:00,03.12.2021 14:00,"3,2"
03.12.2021 14:00,03.12.2021 15:00,"2,708"
03.12.2021 15:00,03.12.2021 16:00,"2,735"
03.12.2021 16:00,03.12.2021 17:00,"3,317"
03.12.2021 17:00,03.12.2021 18:00,"3,854"
03.12.2021 18:00,03.12.2021 19:00,"4,816"
03.12.2021 19:00,03.12.2021 20:00,"2,977"
03.12.2021 20:00,03.12.2021 21:00,"2,895"
03.12.2021 21:00,03.12.2021 22:00,"3,796"
03.12.2021 22:00,03.12.2021 23:00,"3,203"
03.12.2021 23:00,04.12.2021 00:00,"1,791"
04.12.2021 00:00,04.12.2021 01:00,"3,752"
04.12.2021 01:00,04.12.2021 02:00,"3,177"
04.12.2021 02:00,04.12.2021 03:00,"3,141"
04.12.2021 03:00,04.12.2021 04:00,"3,101"
04.12.2021 04:00,04.12.2021 05:00,"3,079"
04.12.2021 05:00,04.12.2021 06:00,"3,564"
04.12.2021 06:00,04.12.2021 07:00,"3,053"
04.12.2021 07:00,04.12.2021 08:00,"2,585"
04.12.2021 08:00,04.12.2021 09:00,"2,586"
04.12.2021 09:00,04.12.2021 10:00,"3,234"
04.12.2021 10:00,04.12.2021 11:00,"2,929"
04.12.2021 11:00,04.12.2021 12:00,"2,918"
04.12.2021 12:00,04.12.2021 13:00,"3,252"
04.12.2021 13:00,04.12.2021 14:00,"2,834"
04.12.2021 14:00,04.12.2021 15:00,"3,645"
04.12.2021 15:00,04.12.2021 16:00,"2,637"
04.12.2021 16:00,04.12.2021 17:00,"3,901"
04.12.2021 17:00,04.12.2021 18:00,"2,616"
04.12.2021 18:00,04.12.2021 19:00,"3,16"
04.12.2021 19:00,04.12.2021 20:00,"2,658"
04.12.2021 20:00,04.12.2021 21:00,"2,684"
04.12.2021 21:00,04.12.2021 22:00,"3,518"
04.12.2021 22:00,04.12.2021 23:00,"3,974"
04.12.2021 23:00,05.12.2021 00:00,"1,124"
05.12.2021 00:00,05.12.2021 01:00,"4,399"
05.12.2021 01:00,05.12.2021 02:00,"3,868"
05.12.2021 02:00,05.12.2021 03:00,"4,151"
05.12.2021 03:00,05.12.2021 04:00,"3,598"
05.12.2021 04:00,05.12.2021 05:00,"3,559"
